sasdate,ypr,a0m051,cons_r,mtq,a0m059,ips10,ips11,ips299,ips12,ips13,ips18,ips25,ips32,ips34,ips38,ips43,ips307,ips306,pmp,utl11,lhel,lhelx,lhem,lhnag,lhur,lhu680,lhu5,lhu14,lhu15,lhu26,lhu27,claimuii,ces002,ces003,ces006,ces011,ces015,ces017,ces033,ces046,ces048,ces049,ces053,ces088,ces140,ces151,ces155,a0m001,pmemp,hsfr,hsne,hsmw,hssou,hswst,hsbr,hsbne,hsbmw,hsbsou,hsbwst,pmi,pmno,pmdel,pmnv,a1m008,a0m007,a0m027,a1m092,a0m070,a0m077,fm1,fm2,fmscu,fm2_r,fmfba,fmrra,fmrnba,fclnbw,fclbmc,ccinrv,ccipy,fspcom,fspin,fsdxp,fspxe,fyff,cp90,fygm3,fygm6,fygt1,fygt5,fygt10,fyaaac,fybaac,scp90,sfygm3,sfygm6,sfygt1,sfygt5,sfygt10,sfyaaac,sfybaac,exrus,exrsw,exrjan,exruk,exrcan,pwfsa,pwfcsa,pwimsa,pwcmsa,psccom,pw102,pmcp,punew,pu83,pu84,pu85,puc,pucd,pus,puxf,puxhs,puxm,gmdc,gmdcd,gmdcn,gmdcs,ces275,ces277,ces278,hhsntn
Transform:,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,2,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,5,5,5,5,5,2,6,6,6,5,6,6,6,6,1,6,2,5,5,2,5,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,5,5,5,5,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
01/01/1959,1876.0,1758.3,15.09553,207694.0,61163.0,24.5604,24.0391,23.5664,30.1603,18.4785,36.3196,11.0846,24.6388,16.0141,28.3993,22.3669,20.1633,45.4042,70.7,80.1973,32.0,0.583,63868.0,58387.0,6.0,16.3,1574.0,1169.0,1396.0,594.0,802.0,294.1,44376.0,18796.0,713.0,2993.0,14998.0,8740.0,6258.0,33685.0,10790.0,2588.2,5349.0,2418.0,8105.0,39.8,2.5,40.2,60.8,1657.0,350.0,452.0,505.0,350.0,1478.0,nan,nan,nan,nan,64.4,69.0,61.8,45.5,17328.0,51876.0,8210.0,148278.0,231.76,1.115,138.9,286.6,28.5,14.10954,40425.0,11112.0,10560.0,28567.0,0.9,48961.16,12.85,55.62,59.3,3.24,19.65,2.48,3.07702,2.82,3.09,3.36,4.01,4.02,4.12,4.87,0.5970199,0.3399999,0.6099999,0.8799999,1.53,1.54,1.64,2.39,105.17,4.3121,359.84,280.6465,0.9671,33.1,33.4,30.6,31.6,100.1,31.3,59.1,29.01,44.8,29.3,21.1,33.3,38.1,22.9,28.9,30.7,29.6,20.3125,45.49247,22.64805,15.38299,2.13,2.45,2.04,95.2
02/01/1959,1887.8,1769.1,15.26412,210629.0,61583.0,25.0414,24.3636,23.7706,30.3816,18.5755,36.6668,11.233,25.4191,16.7517,28.8965,22.778,20.1084,44.7858,70.3,81.4428,34.0,0.636,63684.0,58255.0,5.9,15.5,1554.0,1164.0,1277.0,545.0,732.0,286.2,44571.0,18890.0,704.2,2980.0,15115.0,8839.0,6276.0,33797.0,10830.0,2594.5,5379.8,2420.0,8116.0,39.7,2.6,40.3,62.5,1667.0,346.0,469.0,508.0,344.0,1542.0,nan,nan,nan,nan,66.9,70.5,67.3,55.5,18299.0,54197.0,9788.0,152080.0,232.88,1.104,139.4,287.7,28.6,14.16202,40605.0,11129.0,10624.0,28583.0,0.2,49513.71,12.91,54.77,58.33,3.32,19.43,2.43,2.92848,2.7,3.13,3.54,3.96,3.96,4.14,4.89,0.4984798,0.27,0.7,1.11,1.53,1.53,1.71,2.46,105.38,4.3134,359.84,280.9346,0.9748,33.2,33.4,30.7,31.4,99.3,31.5,66.6,29.0,44.7,29.4,21.2,33.3,38.1,23.0,28.9,30.7,29.6,20.3149,45.52127,22.65083,15.37003,2.13,2.46,2.05,95.8
03/01/1959,1903.4,1785.3,15.41907,213272.0,62028.0,25.4021,24.5111,23.8872,30.3816,18.9393,36.4932,11.3543,26.0794,17.4117,29.3307,23.1344,20.2456,45.9196,71.2,82.4769,36.0,0.702,64267.0,58590.0,5.6,15.3,1459.0,1093.0,1210.0,530.0,680.0,259.7,44884.0,19069.0,704.1,3013.0,15259.0,8965.0,6294.0,33947.0,10889.0,2603.8,5431.5,2430.0,8132.0,40.0,2.8,40.4,62.3,1620.0,330.0,413.0,503.0,374.0,1611.0,nan,nan,nan,nan,67.1,70.2,66.3,58.4,18648.0,55381.0,11058.0,156055.0,235.08,1.1,139.7,289.2,28.6,14.23621,40615.0,11081.0,10482.0,28820.0,2.8,50007.73,12.93,56.15,59.79,3.25,19.95,2.8,3.08919,2.8,3.13,3.61,3.99,3.99,4.13,4.85,0.2891901,0.0,0.3300002,0.8099999,1.19,1.19,1.33,2.05,105.23,4.3228,359.84,281.2708,0.9698,33.2,33.3,30.7,31.5,101.1,31.9,68.9,28.97,44.7,29.6,21.3,33.2,38.3,23.0,28.9,30.7,29.6,20.31439,45.64142,22.63557,15.36588,2.15,2.45,2.07,96.4
04/01/1959,1915.4,1797.4,15.36979,215848.0,61328.0,25.9432,24.865,24.2372,30.8609,19.0605,37.1007,11.651,26.7996,17.9358,30.239,23.6278,20.3279,45.7134,72.1,83.9922,38.0,0.789,64768.0,58875.0,5.2,14.9,1494.0,934.0,1039.0,408.0,631.0,246.1,45178.0,19269.0,705.2,3085.0,15385.0,9077.0,6308.0,34051.0,10920.0,2614.6,5393.7,2439.0,8142.0,40.1,2.9,40.5,63.6,1590.0,275.0,391.0,536.0,388.0,1539.0,nan,nan,nan,nan,66.9,66.9,64.8,63.4,18547.0,55870.0,10034.0,158376.0,238.73,1.104,139.7,290.1,28.6,14.25896,40694.0,11116.0,10424.0,29092.0,3.3,50463.43,12.95,57.1,60.92,3.26,20.1,2.96,3.15545,2.95,3.27,3.72,4.12,4.12,4.23,4.86,0.1954501,-0.01,0.3099999,0.76,1.16,1.16,1.27,1.9,105.02,4.3226,359.84,281.6531,0.9636,33.2,33.4,30.7,31.7,102.4,31.6,63.6,28.98,44.8,29.7,21.3,33.2,38.3,23.1,29.0,30.7,29.6,20.3451,45.6216,22.68106,15.39063,2.16,2.47,2.08,96.9
05/01/1959,1929.2,1812.3,15.56097,218780.0,62318.0,26.334,25.0715,24.4705,31.0084,19.4485,37.1007,12.0286,27.4899,18.5569,30.5107,23.9567,20.6296,44.8373,73.9,84.9159,38.0,0.81,64699.0,58907.0,5.1,14.7,1479.0,1005.0,965.0,390.0,575.0,248.0,45396.0,19378.0,710.0,3087.0,15487.0,9160.0,6327.0,34171.0,10965.0,2626.7,5454.8,2447.0,8153.0,40.3,2.9,40.7,64.8,1498.0,260.0,355.0,487.0,396.0,1513.0,nan,nan,nan,nan,68.2,69.9,63.0,63.8,18226.0,53458.0,10514.0,157808.0,239.53,1.093,140.7,292.2,28.7,14.36066,40731.0,11058.0,10317.0,29573.0,5.8,51007.24,12.99,57.96,62.09,3.21,20.09,2.9,3.20388,2.84,3.33,3.96,4.35,4.31,4.37,4.96,0.30388,-0.0600002,0.4299998,1.06,1.45,1.41,1.47,2.06,105.01,4.3228,359.84,281.4541,0.963,33.3,33.3,30.9,31.5,103.5,31.9,65.1,29.04,44.9,29.7,21.4,33.3,38.4,23.2,29.1,30.7,29.6,20.34725,45.70002,22.67227,15.39274,2.17,2.48,2.08,97.5
06/01/1959,1936.9,1819.2,15.62211,219483.0,62814.0,26.3641,25.2485,24.6455,30.8609,19.594,36.8403,12.3118,27.3098,18.4211,30.4192,23.9841,20.7394,44.8373,66.3,84.7686,40.0,0.865,64849.0,59137.0,5.0,14.9,1522.0,963.0,963.0,415.0,548.0,259.4,45535.0,19462.0,715.0,3100.0,15554.0,9209.0,6345.0,34216.0,10983.0,2633.2,5466.3,2454.0,8143.0,40.2,2.9,40.6,62.2,1503.0,254.0,343.0,518.0,388.0,1490.0,nan,nan,nan,nan,64.4,64.2,63.7,65.6,18291.0,55896.0,10708.0,158665.0,241.25,1.097,141.2,294.1,28.9,14.41726,40750.0,10972.0,10043.0,30042.0,5.6,51675.44,13.08,57.46,61.75,3.23,18.97,3.39,3.59552,3.21,3.52,4.07,4.5,4.34,4.46,5.04,0.2055199,-0.1800001,0.1299999,0.6800001,1.11,0.95,1.07,1.65,104.88,4.3114,359.84,281.2537,0.959,33.2,33.4,30.9,31.3,103.4,31.9,69.5,29.11,45.0,29.8,21.5,33.3,38.4,23.2,29.2,30.8,29.7,20.39916,45.8286,22.73486,15.42741,2.18,2.5,2.09,97.2
07/01/1959,1934.2,1816.3,15.57233,217969.0,62385.0,25.7328,25.278,24.8497,31.2665,19.982,37.1441,12.3387,25.6892,16.577,30.5634,23.5455,21.0137,43.8065,64.8,82.9798,42.0,0.883,65011.0,59447.0,5.1,14.3,1591.0,1047.0,889.0,394.0,495.0,265.5,45630.0,19529.0,725.3,3087.0,15623.0,9266.0,6357.0,34274.0,10993.0,2638.9,5470.0,2460.0,8173.0,39.8,2.8,40.3,59.0,1547.0,271.0,371.0,533.0,372.0,1452.0,nan,nan,nan,nan,61.5,61.3,59.1,62.0,18017.0,51574.0,10863.0,157228.0,242.64,1.111,141.7,295.2,28.8,14.44374,40896.0,11109.0,10148.0,30026.0,-0.2,52356.85,13.25,59.74,64.23,3.11,19.72,3.47,3.52042,3.2,3.82,4.39,4.58,4.4,4.47,5.08,0.05042,-0.27,0.3499999,0.9199998,1.11,0.9300001,0.9999998,1.61,105.12,4.3095,359.84,281.1653,0.9573,33.1,33.3,30.8,31.0,101.9,31.4,63.9,29.15,45.1,29.9,21.5,33.3,38.5,23.3,29.2,30.9,29.8,20.43792,45.83123,22.77315,15.46988,2.18,2.51,2.09,96.9
08/01/1959,1924.1,1806.8,15.67295,213329.0,62872.0,24.861,25.101,24.7914,31.3034,19.4243,37.578,12.2309,23.7385,14.5777,30.4508,22.6136,21.1508,44.5281,57.4,79.4676,40.0,0.826,64844.0,59402.0,5.2,13.7,1607.0,1113.0,889.0,407.0,482.0,293.5,45156.0,19049.0,667.0,3085.0,15202.0,8826.0,6376.0,34288.0,11019.0,2678.0,5487.5,2464.0,8181.0,40.0,2.9,40.4,53.6,1430.0,230.0,350.0,474.0,376.0,1465.0,nan,nan,nan,nan,55.1,54.4,57.4,50.9,17239.0,49082.0,10006.0,157010.0,244.12,1.142,141.9,296.4,28.9,14.48814,40992.0,11168.0,10177.0,30456.0,5.2,53038.53,13.47,59.4,63.74,3.14,19.09,3.5,3.58675,3.38,3.87,4.42,4.57,4.43,4.43,5.09,0.08675,-0.1199999,0.3699999,0.9200001,1.07,0.9299998,0.9299998,1.59,105.49,4.3145,359.84,280.9502,0.9546,33.0,33.1,30.8,30.7,102.0,31.4,57.6,29.18,45.2,29.9,21.6,33.3,38.4,23.4,29.3,30.9,29.8,20.45812,45.63092,22.8019,15.50829,2.17,2.53,2.07,96.7
09/01/1959,1925.7,1806.7,15.83168,212849.0,62736.0,24.831,24.983,24.7039,31.1927,18.8423,37.795,12.1365,23.7085,14.5194,30.4909,22.5588,21.5898,44.2189,50.9,79.0489,41.0,0.805,64770.0,59323.0,5.5,13.7,1602.0,1275.0,895.0,449.0,446.0,273.0,45189.0,19052.0,652.5,3051.0,15254.0,8873.0,6381.0,34376.0,11007.0,2659.7,5483.0,2470.0,8239.0,40.0,2.8,40.4,48.0,1540.0,242.0,362.0,560.0,376.0,1411.0,nan,nan,nan,nan,48.3,43.7,57.5,42.3,17214.0,50420.0,10863.0,159209.0,243.35,1.14,141.0,296.7,28.9,14.46624,41034.0,11128.0,10202.0,30646.0,2.3,53683.75,13.59,57.05,61.21,3.26,17.1,3.76,4.11041,4.04,4.7,5.0,4.9,4.68,4.52,5.18,0.3504102,0.28,0.9399998,1.24,1.14,0.9199998,0.76,1.42,105.46,4.325,360.1,280.3704,0.9517,33.4,33.6,30.8,30.9,101.9,31.9,61.6,29.25,45.3,30.0,21.7,33.5,38.5,23.5,29.3,31.0,29.9,20.50982,45.63182,22.87088,15.55253,2.17,2.54,2.08,96.4
