# script: ch04_autompg.py
# seeds: 42, 7, 123, 2024, 5
# source: https://archive.ics.uci.edu/ml/machine-learning-databases/auto-mpg/auto-mpg.data
# n_restarts: 5
# n_perturb: 500
# folds: 5
# poly_degree: 3
seed,method,n,p,dcor2_u,cv_r2,seconds,b_cylinders,b_displacement,b_horsepower,b_weight,b_acceleration,b_model_year
42,dCor-PP (this thesis),392,6,0.834279,0.86287,0.436,-0.0315,0.0828,0.1375,0.8916,0.0208,-0.4218
42,Sheng-Yin (SQP),392,6,0.783609,0.803336,1.651,0.6571,0.1736,-0.2063,0.6343,-0.0027,-0.3054
42,SIR,392,6,0.8248,0.855739,0.0,0.2559,0.2131,0.0766,0.7924,0.0069,-0.5053
42,OLS,392,6,0.829842,0.856436,0.0,0.0868,-0.1239,0.0023,0.8902,-0.0363,-0.4281
7,dCor-PP (this thesis),392,6,0.834291,0.861643,0.366,-0.013,0.0488,0.1351,0.8965,0.0164,-0.4187
7,Sheng-Yin (SQP),392,6,0.78354,0.801876,1.69,0.6577,0.1722,-0.2066,0.6341,-0.0031,-0.305
7,SIR,392,6,0.8248,0.853661,0.001,0.2559,0.2131,0.0766,0.7924,0.0069,-0.5053
7,OLS,392,6,0.829842,0.854955,0.0,0.0868,-0.1239,0.0023,0.8902,-0.0363,-0.4281
123,dCor-PP (this thesis),392,6,0.834284,0.861688,0.429,-0.0113,0.0544,0.1555,0.8894,0.0252,-0.4255
123,Sheng-Yin (SQP),392,6,0.783566,0.802091,1.627,0.6578,0.1722,-0.2063,0.634,-0.0027,-0.3052
123,SIR,392,6,0.8248,0.854128,0.0,0.2559,0.2131,0.0766,0.7924,0.0069,-0.5053
123,OLS,392,6,0.829842,0.855687,0.0,0.0868,-0.1239,0.0023,0.8902,-0.0363,-0.4281
2024,dCor-PP (this thesis),392,6,0.834277,0.862699,0.366,-0.0155,0.0653,0.1565,0.8879,0.0245,-0.4267
2024,Sheng-Yin (SQP),392,6,0.783534,0.805388,1.611,0.6581,0.1718,-0.206,0.634,-0.0024,-0.305
2024,SIR,392,6,0.8248,0.855587,0.001,0.2559,0.2131,0.0766,0.7924,0.0069,-0.5053
2024,OLS,392,6,0.829842,0.856173,0.0,0.0868,-0.1239,0.0023,0.8902,-0.0363,-0.4281
5,dCor-PP (this thesis),392,6,0.834219,0.861367,0.473,-0.0069,0.0492,0.1845,0.8832,0.0379,-0.4267
5,Sheng-Yin (SQP),392,6,0.783541,0.802695,1.674,0.6584,0.1718,-0.2058,0.6336,-0.0027,-0.3052
5,SIR,392,6,0.8248,0.854119,0.0,0.2559,0.2131,0.0766,0.7924,0.0069,-0.5053
5,OLS,392,6,0.829842,0.855627,0.001,0.0868,-0.1239,0.0023,0.8902,-0.0363,-0.4281
