# script: ch06_best_d_dm_tests.py
# seeds: 0
seed,maturity,focus,other,d_focus,d_other,r2_focus,r2_other,mspe_focus,mspe_other,DM,p
0,2,dCor-SDR+lin,INPCA-hybrid+linear,2,8,0.24239834144276529,0.21462938379326035,3.4214191068045743,3.546827019003443,1.2197291517863253,0.2225675667115221
0,3,dCor-SDR+lin,INPCA-hybrid+linear,2,8,0.2525557622867737,0.2269964703606756,11.9418667277996,12.350225829974514,1.4209395867804397,0.15533432322811258
0,4,dCor-SDR+lin,INPCA-hybrid+linear,3,8,0.260050860103335,0.2239283006343925,24.31023566688115,25.497003630019208,1.5536798211804392,0.12026080871212952
0,5,dCor-SDR+lin,INPCA-hybrid+linear,2,8,0.26775502297779674,0.21352811126914117,36.08377463603349,38.75598369543941,1.8230340004547256,0.06829824145677454
0,2,dCor-SDR+lin,INPCA(k4)+linear,2,8,0.24239834144276529,0.21462938379326035,3.4214191068045743,3.546827019003443,1.2197291517863253,0.2225675667115221
0,3,dCor-SDR+lin,INPCA(k4)+linear,2,8,0.2525557622867737,0.2269964703606756,11.9418667277996,12.350225829974514,1.4209395867804397,0.15533432322811258
0,4,dCor-SDR+lin,INPCA(k4)+linear,3,8,0.260050860103335,0.2239283006343925,24.31023566688115,25.497003630019208,1.5536798211804392,0.12026080871212952
0,5,dCor-SDR+lin,INPCA(k4)+linear,2,8,0.26775502297779674,0.21352811126914117,36.08377463603349,38.75598369543941,1.8230340004547256,0.06829824145677454
0,2,dCor-SDR+lin,PCA+poly,2,8,0.24239834144276529,0.2689258791002641,3.4214191068045743,3.301617594792721,-1.0636749032559216,0.28747599734523366
0,3,dCor-SDR+lin,PCA+poly,2,8,0.2525557622867737,0.2858808799470465,11.9418667277996,11.409433545887898,-1.195113294628673,0.23204276839528948
0,4,dCor-SDR+lin,PCA+poly,3,8,0.260050860103335,0.2877295084384769,24.31023566688115,23.40088335104226,-1.1582789171461607,0.24675023215860015
0,5,dCor-SDR+lin,PCA+poly,2,8,0.26775502297779674,0.273816063749164,36.08377463603349,35.78509695832073,-0.32359214884992926,0.7462468327343572
0,2,dCor-SDR+lin,PCA+linear,2,8,0.24239834144276529,0.18363859244366043,3.4214191068045743,3.6867851150039743,1.592995303715629,0.11116124458989773
0,3,dCor-SDR+lin,PCA+linear,2,8,0.2525557622867737,0.20424166803307875,11.9418667277996,12.713777788907192,1.7470042641136638,0.08063659845037519
0,4,dCor-SDR+lin,PCA+linear,3,8,0.260050860103335,0.2095957049075977,24.31023566688115,25.96788569616388,1.8939670880223545,0.05822937853908061
