# script: ch06_best_d_dm_tests.py
# seeds: 0
seed,label,method,spec,maturity,d_star,r2,mspe
0,PCA+poly,PCA,poly,2,8,0.2689258791002641,3.301617594792721
0,PCA+poly,PCA,poly,3,8,0.2858808799470465,11.409433545887898
0,PCA+poly,PCA,poly,4,8,0.2877295084384769,23.40088335104226
0,PCA+poly,PCA,poly,5,8,0.273816063749164,35.78509695832073
0,dCor-SDR+lin,DcorSDR(seqX),linear,2,2,0.24239834144276529,3.4214191068045743
0,dCor-SDR+lin,DcorSDR(seqX),linear,3,2,0.2525557622867737,11.9418667277996
0,dCor-SDR+lin,DcorSDR(seqX),linear,4,3,0.260050860103335,24.31023566688115
0,dCor-SDR+lin,DcorSDR(seqX),linear,5,2,0.26775502297779674,36.08377463603349
0,INPCA+lin (hybrid),INPCA-hybrid,linear,2,8,0.21462938379326035,3.546827019003443
0,INPCA+lin (hybrid),INPCA-hybrid,linear,3,8,0.2269964703606756,12.350225829974514
0,INPCA+lin (hybrid),INPCA-hybrid,linear,4,8,0.2239283006343925,25.497003630019208
0,INPCA+lin (hybrid),INPCA-hybrid,linear,5,8,0.21352811126914117,38.75598369543941
0,INPCA(k4)+lin,INPCA(k4),linear,2,8,0.21462938379326035,3.546827019003443
0,INPCA(k4)+lin,INPCA(k4),linear,3,8,0.2269964703606756,12.350225829974514
0,INPCA(k4)+lin,INPCA(k4),linear,4,8,0.2239283006343925,25.497003630019208
0,INPCA(k4)+lin,INPCA(k4),linear,5,8,0.21352811126914117,38.75598369543941
0,INPCA(k2)+lin,INPCA(k2),linear,2,8,0.22687454235137772,3.491526428008988
0,INPCA(k2)+lin,INPCA(k2),linear,3,8,0.23477609629099805,12.225931265424418
0,INPCA(k2)+lin,INPCA(k2),linear,4,8,0.23813246955030876,25.030340889055235
0,INPCA(k2)+lin,INPCA(k2),linear,5,8,0.2343592664821489,37.72946014976596
0,SIR+lin,SIR,linear,2,3,0.19495196537477066,3.6356925786140453
0,SIR+lin,SIR,linear,3,7,0.22069398477127156,12.450920221830161
0,SIR+lin,SIR,linear,4,2,0.22939297462634933,25.31746762487472
0,SIR+lin,SIR,linear,5,2,0.2410071945972626,37.401861671893386
0,SAVE+lin,SAVE,linear,2,8,0.18363859244366054,3.686785115003974
0,SAVE+lin,SAVE,linear,3,7,0.22387709999015992,12.400063802307157
0,SAVE+lin,SAVE,linear,4,8,0.20959570490759794,25.967885696163872
0,SAVE+lin,SAVE,linear,5,4,0.22413354413046538,38.233366181773626
0,PLS+lin,PLS,linear,2,4,0.18905408024622028,3.662328128629854
0,PLS+lin,PLS,linear,3,4,0.2100194197406925,12.621467035278624
0,PLS+lin,PLS,linear,4,2,0.22012770754582267,25.621868041200162
0,PLS+lin,PLS,linear,5,2,0.22122365096555285,38.376760718400746
0,dVar-PP(seq)+lin,"DvarSDR(seq,plain)",linear,2,6,0.19758029373607522,3.623822735441514
0,dVar-PP(seq)+lin,"DvarSDR(seq,plain)",linear,3,7,0.21343320109468344,12.566925278301632
0,dVar-PP(seq)+lin,"DvarSDR(seq,plain)",linear,4,7,0.22618246666428643,25.422945421874452
0,dVar-PP(seq)+lin,"DvarSDR(seq,plain)",linear,5,7,0.22763440087978126,38.06084997484918
0,dVar-PP(joint)+lin,"DvarSDR(joi,plain)",linear,2,5,0.18466796743585556,3.6821363352308807
0,dVar-PP(joint)+lin,"DvarSDR(joi,plain)",linear,3,5,0.21569329730987952,12.53081587183079
0,dVar-PP(joint)+lin,"DvarSDR(joi,plain)",linear,4,5,0.21889386517364418,25.662404609494075
0,dVar-PP(joint)+lin,"DvarSDR(joi,plain)",linear,5,5,0.21906358799735448,38.48320491097286
0,"dVar-PP(seq,rob)+lin","DvarSDR(seq,robust)",linear,2,7,0.2090956948353928,3.5718178158393656
0,"dVar-PP(seq,rob)+lin","DvarSDR(seq,robust)",linear,3,7,0.22840896202217487,12.327658544918764
0,"dVar-PP(seq,rob)+lin","DvarSDR(seq,robust)",linear,4,6,0.23236899143273493,25.21969378338889
0,"dVar-PP(seq,rob)+lin","DvarSDR(seq,robust)",linear,5,6,0.23533140826386756,37.68155467268306
0,PCA+lin,PCA,linear,2,8,0.18363859244366043,3.6867851150039743
0,PCA+lin,PCA,linear,3,8,0.20424166803307875,12.713777788907192
0,PCA+lin,PCA,linear,4,8,0.2095957049075977,25.96788569616388
0,PCA+lin,PCA,linear,5,8,0.2057941745918046,39.137098809740706
0,dVar-PP(joint)+poly,"DvarSDR(joi,plain)",poly,2,6,-1.262724116856523,10.218730964216267
0,dVar-PP(joint)+poly,"DvarSDR(joi,plain)",poly,3,6,-1.174838109752422,34.747243407296985
0,dVar-PP(joint)+poly,"DvarSDR(joi,plain)",poly,4,6,-0.5834235977112647,52.021684660971864
0,dVar-PP(joint)+poly,"DvarSDR(joi,plain)",poly,5,6,-0.5194334984342903,74.87507275899061
