# script: ch06_full_grid.py
# seeds: 0
block,maturity,method,d,spec,cp,mspe,r2,bench,dcor_tr,dcor_te
PCA_ours,2,PCA,1,linear,False,4.240755043828368,0.060973545056302925,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,1,linear,True,2.5807868650462407,0.4285387588286954,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,1,poly,False,3.8633797332649595,0.1445354099599,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,1,poly,True,2.3364872842024775,0.4826337883630716,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,2,linear,False,4.033327549991068,0.10690402257335763,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,2,linear,True,2.6936232415770966,0.40355350465876605,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,2,poly,False,3.6158848744850665,0.19933796692321604,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,2,poly,True,2.3846838360019738,0.4719616706130365,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,3,linear,False,3.9780280858421877,0.11914893161510476,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,3,linear,True,2.7338517353333023,0.3946457466087957,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,3,poly,False,3.6244872636266017,0.1974331478765753,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,3,poly,True,2.4713676960794517,0.4527673438980687,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,4,linear,False,4.048677457842375,0.10350510671890323,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,4,linear,True,2.76515587096793,0.3877141008980064,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,4,poly,False,3.6891378396186507,0.1831176308150011,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,4,poly,True,2.4975616025487573,0.4469672514902804,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,5,linear,False,4.026276050057691,0.10846542966149197,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,5,linear,True,2.77801278878031,0.38486720551497045,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,5,poly,False,3.67829282968778,0.185519031302406,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,5,poly,True,2.5102194258562647,0.444164441418746,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,6,linear,False,4.037907708713046,0.10588984227684695,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,6,linear,True,2.8295856401443493,0.3734474768847609,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,6,poly,False,3.6876954784238163,0.1834370115162054,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,6,poly,True,2.558492161984905,0.4334754542433896,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,7,linear,False,4.000215946400472,0.11423589423673708,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,7,linear,True,2.8192240731370743,0.375741829054114,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,7,poly,False,3.6453685566947858,0.1928094225253567,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,7,poly,True,2.5368645831431413,0.4382644289610763,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,8,linear,False,3.973752719282401,0.12009562206591595,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,8,linear,True,2.789222388651226,0.3823850742153938,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,8,poly,False,3.617242154087185,0.19903742576015127,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,PCA,8,poly,True,2.494404817227581,0.4476662555352031,4.516118818061029,0.44711849418852534,0.2822765305043752
PCA_ours,2,"DvarSDR(seq,plain)",1,linear,False,4.248344000674589,0.05929312938258968,4.516118818061029,0.3577811856869864,0.23167618248456331
PCA_ours,2,"DvarSDR(seq,plain)",1,linear,True,2.620067394899532,0.4198409075462626,4.516118818061029,0.3577811856869864,0.23167618248456331
PCA_ours,2,"DvarSDR(seq,plain)",1,poly,False,4.283994550415119,0.05139906122876803,4.516118818061029,0.3577811856869864,0.23167618248456331
PCA_ours,2,"DvarSDR(seq,plain)",1,poly,True,2.6617281539145274,0.4106160043288396,4.516118818061029,0.3577811856869864,0.23167618248456331
PCA_ours,2,"DvarSDR(seq,plain)",2,linear,False,4.349319262249624,0.03693427089303636,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",2,linear,True,2.669085273647527,0.4089869241320174,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",2,poly,False,4.370560707152247,0.032230797455253035,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",2,poly,True,2.695810977314749,0.40306907636407574,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",3,linear,False,3.9055020946447927,0.13520829455908812,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",3,linear,True,2.743652314996956,0.39247561334647785,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",3,poly,False,3.956820191577099,0.1238449759663458,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",3,poly,True,2.786991638681571,0.3828790271115695,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",4,linear,False,3.9108511522316975,0.13402385770027192,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",4,linear,True,2.736138551068178,0.39413937912224284,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",4,poly,False,3.961372265824898,0.12283701438889705,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",4,poly,True,2.7798715155501537,0.3844556293707799,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",5,linear,False,3.95318620116708,0.12464964709135828,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",5,linear,True,2.6666850960753985,0.40951839322502037,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",5,poly,False,4.007853206134159,0.11254478289946557,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",5,poly,True,2.7185764127715135,0.39802814711178935,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",6,linear,False,3.8729557689436387,0.14241499726385165,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",6,linear,True,2.6444946929300093,0.41443199360609195,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",6,poly,False,3.932291544991548,0.12927633142303907,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",6,poly,True,2.7018301915677054,0.40173624733644153,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",7,linear,False,3.968425870868223,0.12127514116822002,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",7,linear,True,2.7888243219310977,0.3824732177599206,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",7,poly,False,4.03483890233801,0.10656936522534943,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",7,poly,True,2.862432479218014,0.36617423178272723,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",8,linear,False,3.9737527192824005,0.12009562206591606,4.516118818061029,0.35778118568698264,0.2316761824845613
