# script: ch06_full_grid.py
# seeds: 0
maturity,d,cp,anchor,method,DM,p,mspe_anchor,mspe_method
2,1,False,PCA+poly(LN-winner),DcorSDR(seqX)+linear,0.199736314661535,0.8416868110075664,3.8633797332649595,3.82177037068538
2,1,False,PCA+poly(LN-winner),DcorSDR(seqX)+poly,0.5374808593222644,0.5909355028848147,3.8633797332649595,3.7493221443306677
2,1,False,PCA+poly(LN-winner),DcorSDR(seqY)+linear,0.199736314661535,0.8416868110075664,3.8633797332649595,3.82177037068538
2,1,False,PCA+poly(LN-winner),DcorSDR(seqY)+poly,0.5374808593222644,0.5909355028848147,3.8633797332649595,3.7493221443306677
2,1,False,PCA+poly(LN-winner),"DvarSDR(joi,plain)+linear",-2.0818252502975456,0.037358434473487634,3.8633797332649595,4.639297889526931
2,1,False,PCA+poly(LN-winner),"DvarSDR(joi,plain)+poly",-2.0617487508591346,0.03923166257240629,3.8633797332649595,4.415688304978493
2,1,False,PCA+poly(LN-winner),"DvarSDR(joi,robust)+linear",-1.3596138428230886,0.17395215526141028,3.8633797332649595,4.55116290314033
2,1,False,PCA+poly(LN-winner),"DvarSDR(joi,robust)+poly",-1.3576437888635424,0.174576741159141,3.8633797332649595,4.55097965019363
2,1,False,PCA+poly(LN-winner),"DvarSDR(seq,plain)+linear",-0.9963436002883144,0.31908322619968743,3.8633797332649595,4.248344000674589
2,1,False,PCA+poly(LN-winner),"DvarSDR(seq,plain)+poly",-0.991165181520615,0.3216049292608689,3.8633797332649595,4.283994550415119
2,1,False,PCA+poly(LN-winner),"DvarSDR(seq,robust)+linear",-1.7324178225761786,0.08319919697261957,3.8633797332649595,4.777831290362249
2,1,False,PCA+poly(LN-winner),"DvarSDR(seq,robust)+poly",-1.1497834784803307,0.25023306164504944,3.8633797332649595,10.771500276903131
2,1,False,PCA+poly(LN-winner),INPCA(k2)+linear,-1.4832780139971755,0.13800056125448168,3.8633797332649595,4.633432330084317
2,1,False,PCA+poly(LN-winner),INPCA(k2)+poly,-1.530253925388327,0.1259538881076563,3.8633797332649595,4.677798697348737
2,1,False,PCA+poly(LN-winner),INPCA(k3)+linear,-1.000335392253082,0.31714822486875516,3.8633797332649595,4.318042730014851
2,1,False,PCA+poly(LN-winner),INPCA(k3)+poly,-1.0045931239999175,0.3150928095659453,3.8633797332649595,4.320802727838458
2,1,False,PCA+poly(LN-winner),INPCA(k4)+linear,0.7567947651624244,0.44917282953942816,3.8633797332649595,3.6525341483840115
2,1,False,PCA+poly(LN-winner),INPCA(k4)+poly,0.6953608480663397,0.4868291901740922,3.8633797332649595,3.6597288136601898
2,1,False,PCA+poly(LN-winner),PCA+linear,-1.8746708151664748,0.06083802430608798,3.8633797332649595,4.240755043828368
2,1,False,PCA+poly(LN-winner),PCA+poly,,,3.8633797332649595,3.8633797332649595
2,1,False,PCA+poly(LN-winner),PLS+linear,-0.33141921273445685,0.7403278544913454,3.8633797332649595,3.9737527192824027
2,1,False,PCA+poly(LN-winner),PLS+poly,-0.5531338071369325,0.5801717886063726,3.8633797332649595,4.054432045676945
2,1,False,PCA+poly(LN-winner),SAVE+linear,-1.2597931814473249,0.20774398016988682,3.8633797332649595,4.426764322293334
