# script: ch06_case_motivating_example.py
# seeds: 42, 7, 123
# K: 2
# basis: fit_unit
# headline_seed: 42
# holdout: 2001-09-01, 2001-10-01
method,basis,strategy,seed,direction,criterion,margin,pair_isolated,outside_support,z_sep_mad,z_oct_mad,z_sep_sd,z_oct_sd,excess_sep_sd,excess_oct_sd,rank_sep2001,rank_oct2001,worse_rank,fit_support,dvar_fit,dvar_biloop_fit,top5_months,detail
PCA,fit_unit,-,42,1,1.0000000000000002,0.26183286242452875,False,False,-1.9383380093080507,-1.5970674451234332,-1.4352023194337373,-1.1575628903488864,0.0,0.0,45,66,66,"[-4.82, 2.21]",0.5662141339723658,3.142454237402284,1980-05 1974-12 1980-04 1974-11 1975-02,+1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,fit_unit,-,42,2,1.0000000000000009,0.11961980745519865,False,False,1.049999386508048,0.7608105768911936,0.9463191783518019,0.7314627169350022,0.0,0.0,154,219,219,"[-4.56, 2.61]",0.570234791444096,3.0471652221058214,1980-03 1980-12 1974-07 1973-08 1981-05,+0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
MCD-PCA,fit_unit,-,42,1,1.047331010357878,0.06330231263583493,False,False,0.24272558202828673,-6.7459322317736765,0.24043440329543894,-6.607972524214332,0.0,-4.391980342158527,394,1,394,"[-2.22, 3.76]",0.6268432974610142,3.344840393323728,2001-10 1966-11 1966-10 1966-09 1966-07,+0.040 -0.187 -0.027 -0.191 -0.366 -0.744 +0.398 +0.284
MCD-PCA,fit_unit,-,42,2,0.8520761398990457,1.2401668937318626,True,True,-5.708761308059511,9.452933380480784,-5.644480385151488,9.330202955416606,-2.2346863656497296,4.789894568103415,2,1,2,"[-3.41, 4.54]",0.6243380791783516,3.374511535557499,2001-10 2001-09 1982-02 2001-11 1982-01,+0.151 +0.040 -0.098 -0.213 -0.422 -0.004 +0.110 -0.855
MCD distance,fit_unit,-,42,0,17.534546139484647,0.26142709065706804,False,False,6.932438980749452,14.966230840554072,,,,,27,1,27,max d2 on the 478 = 183.8,,,2001-10 1980-05 1980-04 1980-03 1973-08,flagged at chi2_0.975: 116 of 480 months
dVar-PP,fit_unit,sequential,42,1,0.6763539946581426,0.3479924787241439,False,False,-1.0420507788225852,-0.9704166784971635,-1.2497538405690034,-1.166024282418238,0.0,0.0,118,147,147,"[-2.58, 3.23]",0.6763539946581426,3.3674221595042404,1966-10 1966-11 1981-01 1966-09 1967-01,-0.057 +0.080 +0.163 -0.448 -0.235 -0.818 +0.197 -0.008
dVar-PP,fit_unit,sequential,42,2,0.6559782490488213,0.02745500927538644,False,False,-0.0808029382568656,6.138430910886363,-0.09862964460987073,6.833643748743413,0.0,3.5616737734036716,441,1,441,"[-2.41, 3.27]",0.6559906517156583,3.3012902742423256,2001-10 1982-02 1975-04 1982-07 2002-01,-0.457 +0.624 +0.257 -0.189 +0.074 +0.113 -0.485 -0.214
dVar-PP,fit_unit,joint,42,1,0.676297542431009,0.31270759148670374,False,False,-1.0418837017710119,-0.8811700499696312,-1.2475673123568738,-1.060688652171407,0.0,0.0,117,174,174,"[-2.58, 3.24]",0.676297542431009,3.3786599597879725,1966-10 1966-11 1981-01 1966-09 1967-01,-0.060 +0.090 +0.161 -0.450 -0.241 -0.818 +0.180 -0.007
dVar-PP,fit_unit,joint,42,2,0.6561203591375427,0.018482207441430754,False,False,0.054269423581658816,-6.16241398290911,0.0683405855126294,-6.814510245265048,0.0,-3.5718108772391313,452,1,452,"[-3.24, 2.39]",0.6561203591375427,3.3180957505926565,2001-10 1982-02 1975-04 1982-07 2002-01,+0.461 -0.624 -0.256 +0.182 -0.076 -0.126 +0.482 +0.214
dVar-PP (biloop),fit_unit,sequential,42,1,3.4937342867403025,0.39263288627298015,False,False,1.2743939761645968,-2.5323988667950985,1.1784159833546546,-2.43319329984263,0.0,0.0,109,10,109,"[-2.92, 3.05]",0.6372778681869472,3.4937342867403025,1981-01 1966-05 1973-08 1987-11 1966-10,-0.070 -0.116 +0.113 +0.351 +0.015 +0.808 +0.440 -0.006
