# script: ch06_outlier_recovery.py
# seeds: 42, 7, 123
# K: 3
# budget: {'plain': {'n_starts': 20, 'max_iter': 300}, 'robust': {'n_starts': 8, 'max_iter': 80}}
method,basis,strategy,seed,direction,criterion,z_sep2001,z_oct2001,rank_sep2001,rank_oct2001,worse_rank,pair_isolated,sep_margin,dvar,dvar_biloop,top5_months,detail
PCA,unit,-,42,1,1.002088544134248,-1.8718966332062985,-1.6780610066759092,47,59,59,False,0.28562297726419594,0.5677466764182445,3.0879345626718244,1980-05 1974-12 1980-04 1974-11 1975-02,+1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,unit,-,42,2,1.0020850550525595,-0.039222097906704174,-2.460747637620141,469,30,469,False,0.006939093667109687,0.5755946699165762,3.0449099598250333,1980-03 1974-07 1973-08 1980-12 1974-08,+0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,unit,-,42,3,1.0020896536030257,-4.993178568357901,7.813223449688547,4,1,4,False,0.7275656416680796,0.5272300093483986,3.0927360290401102,2001-10 1973-08 1973-09 2001-09 2003-04,+0.000 +0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000
MCD-PCA,unit,-,42,1,0.9930934677724987,2.3534134058070935,1.5315189880876359,8,68,68,False,0.4191586997197088,0.6449431961406203,3.4748734548474784,1966-11 1966-10 1967-01 1966-06 1966-07,-0.006 -0.108 -0.219 +0.154 -0.503 -0.513 +0.538 +0.333
MCD-PCA,unit,-,42,2,0.7717387010062505,1.8968562518705863,1.8698734389219727,30,31,31,False,0.5547301422439913,0.620687930843717,3.2063381007234066,1982-02 1990-08 1973-09 1991-05 1981-09,-0.326 -0.354 +0.035 -0.560 -0.007 +0.073 -0.227 +0.630
MCD-PCA,unit,-,42,3,0.6471112598823774,-2.4555735668536536,2.152979657407657,23,37,37,False,0.5591875102390425,0.5887120747605659,3.1512808431953387,1974-12 1982-10 1970-12 2003-04 1983-01,+0.026 -0.244 -0.353 -0.337 +0.604 -0.475 +0.186 -0.276
MCD distance,unit,-,42,0,17.534546139484647,18.376536316417088,30.81971302330841,2,1,2,True,1.9192761892180625,,,2001-10 2001-09 1980-05 1980-04 1980-03,flagged at chi2_0.975: 115 of 480 months
dVar-PP,unit,sequential,42,1,0.6771095457819817,-0.9940835766918718,-1.0033155623970078,133,128,133,False,0.34210400612121694,0.6771095457819817,3.387342699913696,1966-10 1966-11 1967-01 1966-09 1981-01,-0.055 -0.095 +0.254 -0.331 +0.313 +0.592 -0.586 -0.149
dVar-PP,unit,sequential,42,2,0.6492291103626746,2.458134043891186,2.598337578409274,6,2,6,False,0.8606040454568009,0.6492301304599537,3.459197646658306,1975-04 2001-10 1982-07 2002-01 1982-08,-0.503 -0.638 +0.001 -0.321 -0.131 -0.087 +0.058 +0.457
dVar-PP,unit,sequential,42,3,0.6080338700600123,0.5551134981498441,1.4791057555211233,275,71,275,False,0.1407193009188691,0.6080384236806917,3.320916642158469,1982-10 1987-11 1982-04 1982-09 1981-06,+0.364 +0.000 +0.182 +0.352 -0.435 +0.186 -0.351 +0.603
dVar-PP,unit,joint,42,1,0.6666507053685673,0.2777141623013464,0.9794560284924239,378,144,378,False,0.0954531753623946,0.6666507053685673,3.4073600709532896,1966-10 1981-01 1966-05 1966-08 1966-09,+0.052 +0.006 -0.298 +0.262 -0.156 -0.631 +0.636 -0.118
