# script: ch06_outlier_recovery.py
# seeds: 42, 7, 123
basis,method,strategy,direction,worse_rank_med,worse_rank_min,worse_rank_max,margin_med,margin_min,margin_max,isolated_seeds,n_seeds
scaled,MCD distance,-,0,2.0,2,2,1.3113052934214855,1.3113052934214855,1.3234420603529076,3,3
scaled,MCD-PCA,-,1,56.0,54,56,0.3055497050777623,0.3049291030253844,0.3055497050777623,0,3
scaled,MCD-PCA,-,2,119.0,68,119,0.3617841053485591,0.3617841053485591,0.4623893704065374,0,3
scaled,MCD-PCA,-,3,218.0,181,218,0.1777178481020297,0.1777178481020297,0.21245647826520947,0,3
scaled,PCA,-,1,55.0,55,55,0.29148153910254,0.29148153910254,0.29148153910254,0,3
scaled,PCA,-,2,386.0,386,386,0.03964712480456157,0.03964712480456157,0.03964712480456157,0,3
scaled,PCA,-,3,6.0,6,6,0.4998726625248841,0.4998726625248841,0.4998726625248841,0,3
scaled,dVar-PP,joint,1,32.0,32,33,0.4030535457595609,0.40216654494529175,0.40366111366062096,0,3
scaled,dVar-PP,joint,2,58.0,55,58,0.3297422628481955,0.3281163036268999,0.3318218200739116,0,3
scaled,dVar-PP,joint,3,178.0,176,178,0.162765970786781,0.16131203290000085,0.16378568280628955,0,3
scaled,dVar-PP,sequential,1,57.0,57,57,0.29939328836900425,0.2990946257735215,0.3001575028712055,0,3
scaled,dVar-PP,sequential,2,275.0,270,276,0.12844189686542715,0.1276371444621498,0.13084192806349315,0,3
scaled,dVar-PP,sequential,3,222.0,221,230,0.16154990117574203,0.1554025441424512,0.16202360997830645,0,3
scaled,dVar-PP (biloop),joint,1,7.0,7,38,0.6454308630592106,0.292111135165463,0.7235912685838731,0,3
scaled,dVar-PP (biloop),joint,2,67.0,46,232,0.48554104137395826,0.10086560450435035,0.5429704314545926,0,3
scaled,dVar-PP (biloop),joint,3,66.0,16,436,0.2844660556889732,0.03802225391639719,0.3874239070424085,0,3
scaled,dVar-PP (biloop),sequential,1,49.0,19,474,0.31102950383809613,0.004668866855814354,0.38142773878817837,0,3
scaled,dVar-PP (biloop),sequential,2,9.0,3,58,0.701212495362206,0.38379881841326713,0.7443043806597508,0,3
scaled,dVar-PP (biloop),sequential,3,95.0,14,228,0.31205426432312583,0.16935535846099697,0.38189956216925386,0,3
unit,MCD distance,-,0,2.0,2,2,1.9192761892180625,1.8001382853036298,1.938067965797475,3,3
unit,MCD-PCA,-,1,68.0,32,80,0.4191586997197088,0.3930734291350483,0.48968429627479265,0,3
unit,MCD-PCA,-,2,43.0,31,63,0.5228525046586496,0.4455303103156392,0.5547301422439913,0,3
unit,MCD-PCA,-,3,50.0,37,70,0.49048915598778786,0.4096955435165419,0.5591875102390425,0,3
unit,PCA,-,1,59.0,59,59,0.28562297726419594,0.28562297726419594,0.28562297726419594,0,3
unit,PCA,-,2,469.0,469,469,0.006939093667109687,0.006939093667109687,0.006939093667109687,0,3
unit,PCA,-,3,4.0,4,4,0.7275656416680796,0.7275656416680796,0.7275656416680796,0,3
unit,dVar-PP,joint,1,370.0,361,378,0.10086584854225403,0.0954531753623946,0.1066576692150828,0,3
unit,dVar-PP,joint,2,12.0,12,12,0.7850492904661885,0.7805285095611033,0.7906022924458966,0,3
unit,dVar-PP,joint,3,48.0,46,48,0.47263094816428414,0.46902792254894804,0.47307903797577655,0,3
unit,dVar-PP,sequential,1,133.0,132,134,0.34295385260158323,0.34210400612121694,0.3462561824747221,0,3
unit,dVar-PP,sequential,2,6.0,6,6,0.8570512645396262,0.8505495616796149,0.8606040454568009,0,3
unit,dVar-PP,sequential,3,275.0,262,279,0.1407193009188691,0.13854228120608086,0.15334164908017167,0,3
unit,dVar-PP (biloop),joint,1,112.0,4,255,0.42641300320695635,0.22250716488358377,0.723352399604204,0,3
unit,dVar-PP (biloop),joint,2,54.0,4,366,0.2790494326006592,0.09012512712042173,0.952534474266819,0,3
unit,dVar-PP (biloop),joint,3,41.0,2,98,0.31264153120215066,0.2525960780465046,1.119859074761252,1,3
unit,dVar-PP (biloop),sequential,1,207.0,79,219,0.22417480253866254,0.22073703528745622,0.4113480924812673,0,3
unit,dVar-PP (biloop),sequential,2,63.0,2,396,0.3256456715190174,0.049225787614214755,1.462039567466772,1,3
unit,dVar-PP (biloop),sequential,3,78.0,50,468,0.3078980570463165,0.006410049785707536,0.4497632535122655,0,3
