# script: ch05_single_direction_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_starts: 20
# max_iter: 300
# n_rand: 20
# index_fun: plain
seed,n,p,sigma,dist,angle_deg,MSS_dVar,MSS_PCA,MSS_FastICA,MSS_random,dvar_obj,dvar_random_mean,restart_spread,beats_PCA,beats_FastICA,beats_random
42,200,5,0.5,gaussian_mix,54.14577009266554,0.6569261341676598,0.8584034382118897,0.8584034382118884,0.6926432393292588,0.7467309082062676,0.6477806606235208,0.020606867972787435,True,True,True
42,200,20,0.5,gaussian_mix,87.98764409585343,0.9987669356702923,0.9585767084817152,0.958576708481716,0.916887120735937,0.8798624160346102,0.6208860967571695,0.06520491058303368,False,False,False
42,200,50,0.5,gaussian_mix,81.02476022971436,0.9756616214512264,0.8922667867225906,0.8922667867225897,0.9854411741507079,1.0469680690881524,0.6474917841394455,0.08063063093874467,False,False,True
42,200,5,1.0,gaussian_mix,9.97887933967074,0.030027740111204015,0.05465128805136088,0.0546512880513611,0.6926432393292588,0.9329446134739028,0.6765833265329574,0.00043205728751627426,True,True,True
42,200,20,1.0,gaussian_mix,43.98091256614198,0.48221731991900885,0.28587902672344767,0.28587902672344734,0.916887120735937,0.942447631172215,0.6311726384462403,0.0978672602010302,False,False,True
42,200,50,1.0,gaussian_mix,65.79325015824791,0.8318750012909975,0.48188780956376087,0.48188780956376165,0.9854411741507079,1.0755241269412341,0.6508984933792454,0.07107257476111362,False,False,True
42,200,5,2.0,gaussian_mix,2.631131737410306,0.0021073400299546075,0.006842251172887059,0.0068422511728877256,0.6926432393292588,1.5891997929974184,0.7761192977744797,0.0001584547991295704,True,True,True
42,200,20,2.0,gaussian_mix,14.266672182036546,0.060730363861321024,0.055664194565740344,0.055664194565739566,0.916887120735937,1.5181483580782777,0.6746343478678041,0.0011762517843691978,False,False,True
42,200,50,2.0,gaussian_mix,19.374271449568568,0.1100497995847789,0.08426710782237734,0.08426710782237734,0.9854411741507079,1.5190286644411,0.6642725308066797,0.00022809297852410815,False,False,True
42,200,5,4.0,gaussian_mix,1.1045058800882361,0.0003715668858499388,0.0014368645767294241,0.001436864576729202,0.6926432393292588,3.0699318633934336,1.077453963125833,0.00010579534070354057,True,True,True
42,200,20,4.0,gaussian_mix,7.159870235825672,0.015534713106388431,0.011851301106410861,0.011851301106411083,0.916887120735937,2.9790272087267984,0.8302369901426457,0.0004979424115321152,False,False,True
42,200,50,4.0,gaussian_mix,8.231650144138323,0.02049927062963086,0.01728773627882363,0.01728773627882274,0.9854411741507079,2.9372606759911344,0.7158413630063237,0.0015721967582904561,False,False,True
42,200,5,0.5,t3,43.905307195538306,0.48089865554666145,0.5087459507413561,0.5087459507413559,0.7023069650912783,0.7452215011704119,0.6580459532279285,0.03603074673052398,True,True,True
42,200,20,0.5,t3,82.20754638608753,0.9816166859271028,0.9185850822653253,0.9185850822653282,0.9478685747540887,0.8890499777852507,0.6382089310115067,0.05005276446489504,False,False,False
42,200,50,0.5,t3,66.30377689110995,0.8384865048202615,0.9389852796349559,0.9389852796349536,0.9830864855382921,1.04087325788463,0.6298712283093891,0.03866193604057111,True,True,True
42,200,5,1.0,t3,28.469808916489704,0.227238709918958,0.061046663843528415,0.06104666384352675,0.7023069650912783,0.8444918471337879,0.6872493859794895,0.00022151814568827088,False,False,True
42,200,20,1.0,t3,46.47539885886671,0.5257391860509375,0.2553567811301961,0.25535678113019555,0.9478685747540887,0.9144020682563848,0.6517091089713771,0.05338672657264931,False,False,True
42,200,50,1.0,t3,56.1973179415612,0.6904919086464871,0.29925047578261377,0.2992504757826152,0.9830864855382921,1.0823855560770166,0.6352915759050106,0.0653498898700835,False,False,True
42,200,5,2.0,t3,8.585739370616926,0.022287277883876966,0.010465573563449238,0.010465573563450792,0.7023069650912783,1.2016851186701307,0.7810413846893511,0.0003531173117277131,False,False,True
42,200,20,2.0,t3,18.03305394233237,0.0958308653744484,0.03560574441786979,0.03560574441787001,0.9478685747540887,1.2041740761165223,0.6932230874843942,0.0006378975495195949,False,False,True
42,200,50,2.0,t3,24.584638849162374,0.17308679259463522,0.058336830929791694,0.05833683092979103,0.9830864855382921,1.3470340572267878,0.6552580536708097,0.0005209211437522399,False,False,True
