# script: ch04_single_direction_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 3
# max_iter: 100
seed,nonlinearity,noise,n,p,angle_dcor,angle_ols,angle_sir,angle_save,dcor_found,dcor_ols,dcor_sir,dcor_save,spread
42,abs,0.0,200,2,0.9917,69.8674,82.9951,4.1928,0.311914,0.013843,0.014761,0.308604,0.0
7,abs,0.0,200,2,0.1891,17.0024,23.1795,4.0941,0.359733,0.265653,0.212692,0.353088,0.0
123,abs,0.0,200,2,0.2108,3.1663,1.9564,0.3951,0.326068,0.32237,0.324715,0.325909,1e-06
2024,abs,0.0,200,2,0.1345,10.8294,34.0752,2.6524,0.325311,0.290699,0.129085,0.322498,2e-06
5,abs,0.0,200,2,0.7137,38.2511,80.3247,2.0891,0.31278,0.080923,0.012475,0.311879,0.0
42,abs,0.0,200,5,1.4156,80.8743,87.3878,3.2817,0.314229,0.006217,0.037168,0.311549,0.303525
7,abs,0.0,200,5,2.0343,37.9859,36.6201,3.144,0.350313,0.114099,0.129067,0.337855,3.5e-05
123,abs,0.0,200,5,1.244,77.3804,65.5886,5.8619,0.322363,0.006374,0.001513,0.313055,0.303688
2024,abs,0.0,200,5,5.6098,86.8075,77.7191,11.7324,0.302719,0.015196,0.02763,0.283735,0.271237
5,abs,0.0,200,5,2.5839,20.9724,60.8815,3.8483,0.30375,0.201483,0.006037,0.29807,0.292882
42,abs,0.0,200,20,7.8757,86.7193,88.1572,17.9239,0.324,0.032127,0.024426,0.264803,0.200294
7,abs,0.0,200,20,6.0179,74.6905,86.0771,19.2999,0.305654,0.008024,0.025759,0.230802,0.212466
123,abs,0.0,200,20,6.0579,87.706,83.7195,19.0625,0.289072,0.00712,0.005848,0.223086,0.000208
2024,abs,0.0,200,20,15.0083,53.3447,60.8375,20.0956,0.319077,0.089746,0.097644,0.25489,0.177549
5,abs,0.0,200,20,7.9602,55.5325,76.0111,19.2362,0.334045,0.059959,0.032605,0.273217,0.216159
42,abs,0.5,200,2,0.1088,76.6433,29.3297,2.9661,0.191737,0.000471,0.091862,0.190482,9e-06
7,abs,0.5,200,2,2.7417,25.4347,33.3266,1.4886,0.215539,0.137334,0.095711,0.211151,1e-06
123,abs,0.5,200,2,4.6707,43.997,41.0866,4.3682,0.178835,0.050531,0.060681,0.178821,1e-06
2024,abs,0.5,200,2,1.0276,7.105,24.4007,4.3839,0.191087,0.185958,0.138535,0.189297,0.0
5,abs,0.5,200,2,0.3437,78.6903,60.5657,1.9031,0.179938,0.000734,0.007442,0.1793,0.0
42,abs,0.5,200,5,2.3938,87.7007,73.3688,2.8374,0.184801,0.0,0.0,0.181571,0.006563
7,abs,0.5,200,5,8.1994,45.2554,49.5993,6.662,0.197629,0.074886,0.078336,0.184499,1.5e-05
123,abs,0.5,200,5,3.8302,66.3098,71.9831,5.3086,0.169268,0.01077,0.019786,0.167728,0.145748
2024,abs,0.5,200,5,7.0787,64.6449,77.664,8.9224,0.182891,0.005837,0.005191,0.180518,0.000154
5,abs,0.5,200,5,5.6402,23.0711,23.0988,11.6263,0.203227,0.108567,0.128588,0.191754,0.181815
42,abs,0.5,200,20,89.5355,78.6874,88.8014,16.851,0.112909,0.037143,0.074084,0.157037,0.014755
7,abs,0.5,200,20,13.3626,70.9926,73.2488,24.4041,0.187989,0.017054,0.004786,0.108359,0.131402
123,abs,0.5,200,20,13.5215,82.1598,85.0368,23.5018,0.178056,0.051758,0.12158,0.13218,0.077322
2024,abs,0.5,200,20,34.2607,61.841,83.2963,23.5622,0.185486,0.083362,0.043434,0.158612,0.018984
5,abs,0.5,200,20,13.2138,59.1674,85.0221,26.2169,0.225214,0.068536,0.040637,0.180396,0.07596
42,abs,0.5,500,5,4.5829,51.4047,66.7678,6.2691,0.16681,0.025578,0.018959,0.16365,2.5e-05
7,abs,0.5,500,5,4.2443,19.2639,79.3214,3.6298,0.151768,0.101724,0.006797,0.148713,3e-06
123,abs,0.5,500,5,1.9068,81.3292,89.7491,2.8953,0.168129,0.0,0.010265,0.165782,0.157014
2024,abs,0.5,500,5,2.0383,73.6241,66.7851,2.8066,0.168901,0.003126,0.003312,0.16707,0.162048
5,abs,0.5,500,5,1.3682,85.1775,86.3965,3.5616,0.165636,0.006255,0.00833,0.163988,0.088427
42,abs,0.5,1000,5,1.8759,32.2321,46.3381,3.1292,0.167042,0.076506,0.036924,0.16508,2.5e-05
7,abs,0.5,1000,5,3.2817,29.0004,64.6292,4.0404,0.150547,0.071846,0.004365,0.150225,1.1e-05
123,abs,0.5,1000,5,2.9236,68.1533,62.654,2.8018,0.174603,0.003658,0.005749,0.174031,0.000123
2024,abs,0.5,1000,5,2.5113,49.299,89.3225,4.6797,0.148345,0.022112,0.0,0.14522,0.009944
5,abs,0.5,1000,5,1.7561,58.6016,70.0992,2.8078,0.176143,0.012465,0.006755,0.17591,0.041409
42,abs,1.0,200,2,0.4417,81.6906,76.7121,1.3855,0.101986,0.002521,0.001623,0.101774,0.096812
