# script: ch04_cost_scaling_n.py
# seeds: 20260813
# replicates: 3 at each n
# scaling_block: model A part 1, p=20, n in {100, 200, 500, 1000, 2000}
# n_perturb: 500
# n_restarts: 5
# max_iter: 150
# methods: dCor-SDR (this thesis), Sheng-Yin (SQP), SIR, OLS
# design_source: wu2021mm pp.12-13, restating Sheng & Yin (2016)
model,part,n,p,d,rep,method,angle,dcor2_u,seconds
A,1,100,20,2,0,dCor-SDR (this thesis),27.0955,0.345509,0.0904
A,1,100,20,2,0,Sheng-Yin (SQP),58.2872,0.286514,0.2949
A,1,100,20,2,0,SIR,54.8583,0.272194,0.0
A,1,100,20,2,0,OLS,32.2756,0.490196,0.0
A,1,100,20,2,1,dCor-SDR (this thesis),53.5848,0.286018,0.0897
A,1,100,20,2,1,Sheng-Yin (SQP),20.5641,0.301559,0.3693
A,1,100,20,2,1,SIR,53.1455,0.223232,0.0
A,1,100,20,2,1,OLS,36.5114,0.35758,0.0
A,1,100,20,2,2,dCor-SDR (this thesis),19.1959,0.42569,0.0805
A,1,100,20,2,2,Sheng-Yin (SQP),13.7445,0.384799,0.2548
A,1,100,20,2,2,SIR,47.8827,0.268629,0.0
A,1,100,20,2,2,OLS,28.7383,0.478184,0.0
A,1,200,20,2,0,dCor-SDR (this thesis),20.8361,0.33394,0.2055
A,1,200,20,2,0,Sheng-Yin (SQP),17.0899,0.301958,0.6792
A,1,200,20,2,0,SIR,54.4944,0.253765,0.001
A,1,200,20,2,0,OLS,26.4105,0.424196,0.0
A,1,200,20,2,1,dCor-SDR (this thesis),12.7079,0.328812,0.1803
A,1,200,20,2,1,Sheng-Yin (SQP),9.7078,0.262916,0.647
A,1,200,20,2,1,SIR,50.6915,0.202849,0.0
A,1,200,20,2,1,OLS,22.4769,0.377617,0.0
A,1,200,20,2,2,dCor-SDR (this thesis),14.3021,0.368182,0.1845
A,1,200,20,2,2,Sheng-Yin (SQP),13.4577,0.361307,0.6443
A,1,200,20,2,2,SIR,47.0067,0.274023,0.0
A,1,200,20,2,2,OLS,20.8226,0.462121,0.0
A,1,500,20,2,0,dCor-SDR (this thesis),8.1586,0.29424,0.9334
A,1,500,20,2,0,Sheng-Yin (SQP),6.5845,0.294637,14.4161
A,1,500,20,2,0,SIR,48.3342,0.218827,0.0
A,1,500,20,2,0,OLS,11.82,0.409479,0.0
A,1,500,20,2,1,dCor-SDR (this thesis),10.5848,0.301386,1.1451
A,1,500,20,2,1,Sheng-Yin (SQP),8.6991,0.281473,14.85
A,1,500,20,2,1,SIR,39.2992,0.226566,0.0
A,1,500,20,2,1,OLS,15.8025,0.426791,0.0
A,1,500,20,2,2,dCor-SDR (this thesis),9.0258,0.333552,0.9464
A,1,500,20,2,2,Sheng-Yin (SQP),7.2095,0.280347,15.2805
A,1,500,20,2,2,SIR,45.7315,0.215377,0.0
A,1,500,20,2,2,OLS,19.2397,0.398299,0.0
A,1,1000,20,2,0,dCor-SDR (this thesis),7.2407,0.339465,4.9958
A,1,1000,20,2,0,Sheng-Yin (SQP),5.2972,0.278218,56.126
A,1,1000,20,2,0,SIR,39.499,0.209088,0.001
A,1,1000,20,2,0,OLS,13.3097,0.400292,0.0
A,1,1000,20,2,1,dCor-SDR (this thesis),5.5278,0.310119,5.3305
A,1,1000,20,2,1,Sheng-Yin (SQP),5.0725,0.273937,46.8094
A,1,1000,20,2,1,SIR,38.9792,0.20122,0.001
A,1,1000,20,2,1,OLS,14.2024,0.384554,0.001
A,1,1000,20,2,2,dCor-SDR (this thesis),7.4139,0.303196,5.3558
A,1,1000,20,2,2,Sheng-Yin (SQP),5.5023,0.283755,15.5115
A,1,1000,20,2,2,SIR,47.5325,0.213082,0.0
A,1,1000,20,2,2,OLS,11.9866,0.402733,0.0
A,1,2000,20,2,0,dCor-SDR (this thesis),5.073,0.328105,32.4683
A,1,2000,20,2,0,Sheng-Yin (SQP),3.9872,0.28356,233.4053
A,1,2000,20,2,0,SIR,47.3222,0.205072,0.001
A,1,2000,20,2,0,OLS,9.2216,0.403421,0.001
A,1,2000,20,2,1,dCor-SDR (this thesis),5.0136,0.305141,34.8674
A,1,2000,20,2,1,Sheng-Yin (SQP),3.5778,0.284451,223.6052
A,1,2000,20,2,1,SIR,47.7741,0.209451,0.001
A,1,2000,20,2,1,OLS,8.1073,0.41782,0.001
A,1,2000,20,2,2,dCor-SDR (this thesis),4.84,0.304438,30.1793
A,1,2000,20,2,2,Sheng-Yin (SQP),3.5487,0.268138,84.8492
A,1,2000,20,2,2,SIR,45.0358,0.197633,0.001
A,1,2000,20,2,2,OLS,11.4966,0.379754,0.0
