# script: ch05_coupling.py
# seeds: 42, 7, 123, 2024, 5
# n: 2000
# k: 2
# dist: gaussian_mix
# estimator: dcor_u (U-statistic, squared)
seed,n,k,dist,factors,pearson_sq,dcor_sq,ratio
42,2000,2,gaussian_mix,independent,0.0006211059299746615,0.0,0.0
42,2000,2,gaussian_mix,dependent,2.1370038256621524e-05,0.021053819548930416,985.2027074592097
7,2000,2,gaussian_mix,independent,0.0019665279661917174,0.001267861956589754,0.6447210405276025
7,2000,2,gaussian_mix,dependent,0.003584128578257365,0.024673309997471082,6.884047114589696
123,2000,2,gaussian_mix,independent,0.0008791300194122991,0.000353463420088504,0.4020604600953057
123,2000,2,gaussian_mix,dependent,0.00010451585706185527,0.021448122812397438,205.21405474103196
2024,2000,2,gaussian_mix,independent,2.0344856259627957e-07,0.0,0.0
2024,2000,2,gaussian_mix,dependent,0.00042175504888909113,0.0213030688559027,50.51052479873161
5,2000,2,gaussian_mix,independent,0.0022512162803291907,0.000938385789199153,0.4168350226491498
5,2000,2,gaussian_mix,dependent,6.707313629460277e-05,0.022784306354929104,339.69346915364844
