# script: ch04_deflation_strategies.py
# seeds: 42, 7, 123, 2024, 5
# rhos: 0.0, 0.5
# deflations: X_deflation, X_sigma, Y_residual
seed,config,k,p,n,nonlinearity,noise,rho,deflation,mean_angle,inter_dcor,orth_err,elapsed
42,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,X_deflation,3.35,0.001591,0.11209011,0.957
7,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,X_deflation,2.9331,0.013307,0.25818701,1.104
123,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,X_deflation,2.7189,0.039832,0.25762069,1.139
2024,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,X_deflation,2.3897,0.01786,0.19599964,0.531
5,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,X_deflation,5.706,0.014925,0.19282425,0.556
42,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,X_sigma,3.3275,0.039761,0.3212998,1.073
7,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,X_sigma,3.5543,0.019803,0.29598785,1.11
123,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,X_sigma,2.8941,0.017521,0.15510684,1.148
2024,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,X_sigma,2.2065,0.029417,0.24666514,0.575
5,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,X_sigma,5.9171,0.0,0.01409584,0.513
42,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,Y_residual,16.0942,0.999382,1.41391344,0.93
7,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,Y_residual,3.2369,0.0,0.11112027,1.1
123,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,Y_residual,29.315,0.999919,1.41417184,1.238
2024,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,Y_residual,34.1055,0.999264,1.41387674,0.553
5,k2_p5_product_noiseless,2,5,400,product,0.0,0.0,Y_residual,44.9564,0.999635,1.41404812,0.582
42,k2_p5_product_noisy,2,5,400,product,0.5,0.0,X_deflation,4.9094,0.0,0.06157655,1.04
7,k2_p5_product_noisy,2,5,400,product,0.5,0.0,X_deflation,7.1786,0.055691,0.43638507,0.945
123,k2_p5_product_noisy,2,5,400,product,0.5,0.0,X_deflation,5.0342,0.0,0.09502996,1.211
2024,k2_p5_product_noisy,2,5,400,product,0.5,0.0,X_deflation,3.8504,0.020639,0.22521382,0.451
5,k2_p5_product_noisy,2,5,400,product,0.5,0.0,X_deflation,10.1558,0.014816,0.19669152,0.476
42,k2_p5_product_noisy,2,5,400,product,0.5,0.0,X_sigma,4.9998,0.0,0.04176599,1.077
7,k2_p5_product_noisy,2,5,400,product,0.5,0.0,X_sigma,7.2195,0.044218,0.39894292,0.951
123,k2_p5_product_noisy,2,5,400,product,0.5,0.0,X_sigma,5.1242,0.000622,0.1479539,1.16
2024,k2_p5_product_noisy,2,5,400,product,0.5,0.0,X_sigma,3.9092,0.017993,0.21256864,0.456
5,k2_p5_product_noisy,2,5,400,product,0.5,0.0,X_sigma,9.6137,0.009885,0.1647942,0.479
42,k2_p5_product_noisy,2,5,400,product,0.5,0.0,Y_residual,13.3912,0.998244,1.41331895,1.181
7,k2_p5_product_noisy,2,5,400,product,0.5,0.0,Y_residual,7.3193,0.0,0.08475014,1.012
123,k2_p5_product_noisy,2,5,400,product,0.5,0.0,Y_residual,43.3798,0.998495,1.41350108,1.18
2024,k2_p5_product_noisy,2,5,400,product,0.5,0.0,Y_residual,44.2912,0.999533,1.41400263,0.494
5,k2_p5_product_noisy,2,5,400,product,0.5,0.0,Y_residual,37.7949,0.994532,1.4116246,0.49
42,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,X_deflation,6.5385,0.0,0.12930177,1.249
7,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,X_deflation,4.6371,0.166464,0.60656282,1.361
123,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,X_deflation,7.0902,0.014611,0.23951874,1.064
2024,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,X_deflation,7.1388,0.43718,0.9915849,0.562
5,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,X_deflation,6.1695,0.054226,0.4005937,0.561
42,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,X_sigma,6.4754,0.115791,0.62355255,1.476
7,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,X_sigma,4.5913,0.07283,0.41286738,1.337
123,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,X_sigma,6.8755,0.027618,0.2081706,1.222
2024,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,X_sigma,7.9936,0.229164,0.72835968,0.586
5,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,X_sigma,6.006,0.051039,0.30754651,0.601
42,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,Y_residual,8.1118,0.669627,1.20287838,1.37
7,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,Y_residual,26.0661,0.996766,1.41240813,1.487
123,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,Y_residual,37.6877,0.999587,1.41400514,1.142
2024,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,Y_residual,8.3968,0.750801,1.26312879,0.667
5,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.0,Y_residual,15.0114,0.956918,1.39111111,0.606
42,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_deflation,8.4021,0.30551,0.89531916,1.201
7,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_deflation,5.7513,0.106186,0.49682496,1.274
123,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_deflation,7.3931,0.123279,0.56406689,0.537
2024,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_deflation,8.337,0.060186,0.35014989,0.566
5,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_deflation,6.5327,0.114311,0.45549188,0.65
42,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_sigma,8.0273,0.115107,0.61516223,1.09
7,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_sigma,5.5582,0.0,0.05225614,1.349
123,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_sigma,7.1372,0.091616,0.4962793,0.486
2024,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_sigma,8.4499,0.273566,0.77146711,0.606
5,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_sigma,6.514,0.117891,0.46425903,0.598
42,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,Y_residual,12.5392,0.90898,1.36549296,1.577
7,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,Y_residual,22.7359,0.997357,1.41266234,1.415
123,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,Y_residual,35.5899,0.999424,1.41390286,0.58
