# script: ch03_degenerate_branch.py
# seeds: 42, 7, 123, 2024, 5, 2026, 17, 99, 777, 31337
config,kind,seed,calls,degenerate,share
k1_square_noise0.0_p5,single,42,203,6,0.029556650246305417
k1_square_noise2.0_p20,single,42,233,9,0.03862660944206009
k1_abs_noise0.0_p5,single,42,175,8,0.045714285714285714
k1_sine_noise0.0_p5,single,42,197,8,0.04060913705583756
k1_sine_noise1.0_p20,single,42,283,7,0.024734982332155476
k1_cubic_noise2.0_p20,single,42,303,8,0.026402640264026403
k2_p5_product,sequential,42,515,14,0.027184466019417475
k2_p5_product,joint,42,808,12,0.01485148514851485
k2_p5_sum_squares,sequential,42,462,36,0.07792207792207792
k2_p5_sum_squares,joint,42,808,131,0.16212871287128713
k2_p10_sum_squares,sequential,42,698,7,0.01002865329512894
k2_p10_sum_squares,joint,42,794,13,0.0163727959697733
k2_p5_product_noisy,sequential,42,623,9,0.014446227929373997
k2_p5_product_noisy,joint,42,784,28,0.03571428571428571
k1_square_noise0.0_p5,single,7,248,4,0.016129032258064516
k1_square_noise2.0_p20,single,7,289,8,0.02768166089965398
k1_abs_noise0.0_p5,single,7,277,5,0.018050541516245487
k1_sine_noise0.0_p5,single,7,206,15,0.07281553398058252
k1_sine_noise1.0_p20,single,7,303,9,0.0297029702970297
k1_cubic_noise2.0_p20,single,7,298,2,0.006711409395973154
k2_p5_product,sequential,7,633,10,0.01579778830963665
k2_p5_product,joint,7,804,3,0.0037313432835820895
k2_p5_sum_squares,sequential,7,658,9,0.013677811550151976
k2_p5_sum_squares,joint,7,788,3,0.0038071065989847717
k2_p10_sum_squares,sequential,7,727,12,0.016506189821182942
k2_p10_sum_squares,joint,7,808,8,0.009900990099009901
k2_p5_product_noisy,sequential,7,596,5,0.008389261744966443
k2_p5_product_noisy,joint,7,808,21,0.02599009900990099
k1_square_noise0.0_p5,single,123,207,2,0.00966183574879227
k1_square_noise2.0_p20,single,123,301,3,0.009966777408637873
k1_abs_noise0.0_p5,single,123,232,0,0.0
k1_sine_noise0.0_p5,single,123,220,1,0.004545454545454545
k1_sine_noise1.0_p20,single,123,259,4,0.015444015444015444
k1_cubic_noise2.0_p20,single,123,287,0,0.0
k2_p5_product,sequential,123,612,20,0.032679738562091505
k2_p5_product,joint,123,808,34,0.04207920792079208
k2_p5_sum_squares,sequential,123,636,1,0.0015723270440251573
k2_p5_sum_squares,joint,123,768,0,0.0
k2_p10_sum_squares,sequential,123,635,21,0.03307086614173228
k2_p10_sum_squares,joint,123,808,8,0.009900990099009901
k2_p5_product_noisy,sequential,123,515,29,0.05631067961165048
k2_p5_product_noisy,joint,123,808,33,0.04084158415841584
k1_square_noise0.0_p5,single,2024,253,0,0.0
k1_square_noise2.0_p20,single,2024,286,6,0.02097902097902098
k1_abs_noise0.0_p5,single,2024,247,0,0.0
k1_sine_noise0.0_p5,single,2024,227,3,0.013215859030837005
k1_sine_noise1.0_p20,single,2024,303,4,0.013201320132013201
k1_cubic_noise2.0_p20,single,2024,296,1,0.0033783783783783786
k2_p5_product,sequential,2024,624,1,0.0016025641025641025
k2_p5_product,joint,2024,808,7,0.008663366336633664
k2_p5_sum_squares,sequential,2024,598,7,0.011705685618729096
k2_p5_sum_squares,joint,2024,808,11,0.013613861386138614
k2_p10_sum_squares,sequential,2024,751,12,0.015978695073235686
k2_p10_sum_squares,joint,2024,808,1,0.0012376237623762376
k2_p5_product_noisy,sequential,2024,543,3,0.0055248618784530384
k2_p5_product_noisy,joint,2024,808,4,0.0049504950495049506
k1_square_noise0.0_p5,single,5,202,5,0.024752475247524754
k1_square_noise2.0_p20,single,5,254,7,0.027559055118110236
k1_abs_noise0.0_p5,single,5,210,1,0.004761904761904762
k1_sine_noise0.0_p5,single,5,155,15,0.0967741935483871
k1_sine_noise1.0_p20,single,5,254,3,0.011811023622047244
k1_cubic_noise2.0_p20,single,5,286,0,0.0
k2_p5_product,sequential,5,603,3,0.004975124378109453
k2_p5_product,joint,5,808,4,0.0049504950495049506
k2_p5_sum_squares,sequential,5,632,26,0.04113924050632911
k2_p5_sum_squares,joint,5,808,12,0.01485148514851485
k2_p10_sum_squares,sequential,5,656,8,0.012195121951219513
k2_p10_sum_squares,joint,5,792,25,0.03156565656565657
k2_p5_product_noisy,sequential,5,590,7,0.011864406779661017
k2_p5_product_noisy,joint,5,808,0,0.0
k1_square_noise0.0_p5,single,2026,200,4,0.02
k1_square_noise2.0_p20,single,2026,289,5,0.01730103806228374
k1_abs_noise0.0_p5,single,2026,267,3,0.011235955056179775
