# script: ch04_fair_comparison.py
# seeds: 42, 7, 123, 2024, 5
# arms: sy-full, sy-seed, sy-rand1, sy-rand5, sy-rand500, pp-rand1, pp-default, pp-probe500, adam-dcor2, sqp-dcor2
# replicates: 20 at (100, 6), 8 at (500, 20)
# n_perturb: 500
# n_probes: 500
# n_restarts: 5
# max_iter: 150
# sqp_max_iter: 1000
# sqp_tol: 0.0001
part,seed,model,nonlinearity,noise,n,p,d,arm,seconds,nfev,delta_m,dcor2_u_sum,dcor2_u_mean,dcov_v,angle
grid,42,,square,0.0,200,20,1,sy-full,0.278,850,0.120402,0.308074,0.308074,0.376228,6.9153
grid,42,,square,0.0,200,20,1,sy-seed,0.207,1010,0.12029,0.308065,0.308065,0.376229,6.9089
grid,42,,square,0.0,200,20,1,sy-rand1,0.159,771,0.961311,0.120121,0.120121,0.244564,74.0102
grid,42,,square,0.0,200,20,1,sy-rand5,1.045,1180,0.120362,0.308068,0.308068,0.376229,6.913
grid,42,,square,0.0,200,20,1,sy-rand500,0.295,907,0.96198,0.120097,0.120097,0.244569,74.15
grid,42,,square,0.0,200,20,1,pp-rand1,0.017,-1,0.961517,0.12085,0.12085,0.243934,74.0531
grid,42,,square,0.0,200,20,1,pp-default,0.078,-1,0.150919,0.309552,0.309552,0.375399,8.6802
grid,42,,square,0.0,200,20,1,pp-probe500,0.137,-1,0.961517,0.12085,0.12085,0.243934,74.0531
grid,42,,square,0.0,200,20,1,adam-dcor2,0.117,-1,0.151076,0.309576,0.309576,0.375378,8.6893
grid,42,,square,0.0,200,20,1,sqp-dcor2,0.266,1961,0.151227,0.309574,0.309574,0.375319,8.698
grid,42,,square,0.5,200,20,1,sy-full,0.337,1126,0.137373,0.232631,0.232631,0.339869,7.8959
grid,42,,square,0.5,200,20,1,sy-seed,0.24,1126,0.137373,0.232631,0.232631,0.339869,7.8959
grid,42,,square,0.5,200,20,1,sy-rand1,0.193,933,0.94948,0.11108,0.11108,0.239986,71.7099
grid,42,,square,0.5,200,20,1,sy-rand5,1.128,1047,0.137585,0.232674,0.232674,0.339853,7.9082
grid,42,,square,0.5,200,20,1,sy-rand500,0.24,642,0.949874,0.111531,0.111531,0.239502,71.7821
grid,42,,square,0.5,200,20,1,pp-rand1,0.02,-1,0.990424,0.112352,0.112352,0.239278,82.0644
grid,42,,square,0.5,200,20,1,pp-default,0.076,-1,0.175072,0.233853,0.233853,0.338418,10.0829
grid,42,,square,0.5,200,20,1,pp-probe500,0.149,-1,0.99991,0.112959,0.112959,0.251658,89.2294
grid,42,,square,0.5,200,20,1,adam-dcor2,0.132,-1,0.175109,0.233878,0.233878,0.338432,10.085
grid,42,,square,0.5,200,20,1,sqp-dcor2,0.309,2344,0.174377,0.233876,0.233876,0.33849,10.0424
grid,42,,square,1.0,200,20,1,sy-full,0.338,1106,0.193596,0.148403,0.148403,0.309596,11.1627
grid,42,,square,1.0,200,20,1,sy-seed,0.232,1106,0.193596,0.148403,0.148403,0.309596,11.1627
grid,42,,square,1.0,200,20,1,sy-rand1,0.178,857,0.979709,0.099354,0.099354,0.25002,78.4381
grid,42,,square,1.0,200,20,1,sy-rand5,1.195,1230,0.193672,0.148416,0.148416,0.309598,11.1672
grid,42,,square,1.0,200,20,1,sy-rand500,0.282,859,0.97238,0.100624,0.100624,0.251123,76.5025
grid,42,,square,1.0,200,20,1,pp-rand1,0.014,-1,0.998556,0.1014,0.1014,0.254339,86.9201
grid,42,,square,1.0,200,20,1,pp-default,0.093,-1,0.222653,0.149568,0.149568,0.307831,12.8649
grid,42,,square,1.0,200,20,1,pp-probe500,0.136,-1,0.99407,0.104873,0.104873,0.260067,83.7572
grid,42,,square,1.0,200,20,1,adam-dcor2,0.127,-1,0.223437,0.149574,0.149574,0.307754,12.911
grid,42,,square,1.0,200,20,1,sqp-dcor2,0.341,2540,0.219408,0.149547,0.149547,0.307969,12.6742
grid,42,,sine,0.0,200,20,1,sy-full,0.278,819,0.924893,0.134708,0.134708,0.227631,67.6522
grid,42,,sine,0.0,200,20,1,sy-seed,0.157,751,0.88053,0.12702,0.12702,0.219602,61.7063
grid,42,,sine,0.0,200,20,1,sy-rand1,0.231,1112,0.924964,0.134725,0.134725,0.227634,67.663
grid,42,,sine,0.0,200,20,1,sy-rand5,0.961,1000,0.876929,0.127756,0.127756,0.22013,61.2741
grid,42,,sine,0.0,200,20,1,sy-rand500,0.274,815,0.926212,0.134789,0.134789,0.227807,67.8519
grid,42,,sine,0.0,200,20,1,pp-rand1,0.012,-1,0.927777,0.137074,0.137074,0.223439,68.0909
grid,42,,sine,0.0,200,20,1,pp-default,0.083,-1,0.927217,0.137277,0.137277,0.22359,68.0051
grid,42,,sine,0.0,200,20,1,pp-probe500,0.126,-1,0.927929,0.13727,0.13727,0.223129,68.1143
grid,42,,sine,0.0,200,20,1,adam-dcor2,0.128,-1,0.927124,0.137313,0.137313,0.222805,67.9909
grid,42,,sine,0.0,200,20,1,sqp-dcor2,0.324,2428,0.928074,0.137261,0.137261,0.223238,68.1366
grid,42,,sine,0.5,200,20,1,sy-full,0.27,795,0.876261,0.108436,0.108436,0.204843,61.1946
grid,42,,sine,0.5,200,20,1,sy-seed,0.177,843,0.898587,0.110424,0.110424,0.205607,63.973
grid,42,,sine,0.5,200,20,1,sy-rand1,0.171,818,0.900543,0.107477,0.107477,0.204594,64.2295
grid,42,,sine,0.5,200,20,1,sy-rand5,0.987,840,0.896826,0.11054,0.11054,0.20566,63.7439
grid,42,,sine,0.5,200,20,1,sy-rand500,0.333,1117,0.900399,0.110053,0.110053,0.205347,64.2105
grid,42,,sine,0.5,200,20,1,pp-rand1,0.017,-1,0.913327,0.114725,0.114725,0.206159,65.9693
grid,42,,sine,0.5,200,20,1,pp-default,0.078,-1,0.897175,0.114884,0.114884,0.206448,63.7892
grid,42,,sine,0.5,200,20,1,pp-probe500,0.135,-1,0.913327,0.114725,0.114725,0.206159,65.9693
grid,42,,sine,0.5,200,20,1,adam-dcor2,0.113,-1,0.911656,0.11473,0.11473,0.206302,65.7351
grid,42,,sine,0.5,200,20,1,sqp-dcor2,0.346,2593,0.921295,0.114353,0.114353,0.205358,67.1161
grid,42,,sine,1.0,200,20,1,sy-full,0.289,886,0.936492,0.079556,0.079556,0.211039,69.4706
grid,42,,sine,1.0,200,20,1,sy-seed,0.286,1353,0.933851,0.079663,0.079663,0.210954,69.0433
grid,42,,sine,1.0,200,20,1,sy-rand1,0.239,1156,0.983182,0.069641,0.069641,0.190646,79.477
grid,42,,sine,1.0,200,20,1,sy-rand5,1.168,1372,0.939643,0.06836,0.06836,0.191613,69.9917
grid,42,,sine,1.0,200,20,1,sy-rand500,0.297,907,0.990215,0.053931,0.053931,0.175235,81.9781
grid,42,,sine,1.0,200,20,1,pp-rand1,0.018,-1,0.933564,0.079473,0.079473,0.209885,68.9974
grid,42,,sine,1.0,200,20,1,pp-default,0.091,-1,0.933921,0.079788,0.079788,0.211021,69.0546
grid,42,,sine,1.0,200,20,1,pp-probe500,0.135,-1,0.934815,0.079511,0.079511,0.209809,69.1983
grid,42,,sine,1.0,200,20,1,adam-dcor2,0.128,-1,0.933825,0.079794,0.079794,0.211028,69.0392
grid,42,,sine,1.0,200,20,1,sqp-dcor2,0.454,3429,0.934554,0.079778,0.079778,0.211009,69.1562
grid,42,,abs,0.0,200,20,1,sy-full,0.305,944,0.108275,0.323168,0.323168,0.287798,6.2159
grid,42,,abs,0.0,200,20,1,sy-seed,0.168,804,0.108281,0.323173,0.323173,0.2878,6.2162
grid,42,,abs,0.0,200,20,1,sy-rand1,0.165,768,0.965494,0.123603,0.123603,0.185671,74.9047
grid,42,,abs,0.0,200,20,1,sy-rand5,1.023,1107,0.108202,0.323169,0.323169,0.287801,6.2117
grid,42,,abs,0.0,200,20,1,sy-rand500,0.303,958,0.9657,0.123982,0.123982,0.185596,74.95
grid,42,,abs,0.0,200,20,1,pp-rand1,0.017,-1,0.963676,0.124407,0.124407,0.184713,74.5097
grid,42,,abs,0.0,200,20,1,pp-default,0.084,-1,0.127362,0.324646,0.324646,0.287082,7.3172
grid,42,,abs,0.0,200,20,1,pp-probe500,0.144,-1,0.963766,0.124421,0.124421,0.184976,74.5292
grid,42,,abs,0.0,200,20,1,adam-dcor2,0.136,-1,0.128168,0.324644,0.324644,0.287023,7.3637
grid,42,,abs,0.0,200,20,1,sqp-dcor2,0.299,2233,0.126611,0.324645,0.324645,0.28711,7.2738
grid,42,,abs,0.5,200,20,1,sy-full,0.302,916,0.164549,0.18191,0.18191,0.240681,9.471
grid,42,,abs,0.5,200,20,1,sy-seed,0.181,850,0.164755,0.181917,0.181917,0.240685,9.483
grid,42,,abs,0.5,200,20,1,sy-rand1,0.197,908,0.990259,0.109673,0.109673,0.196992,81.9964
grid,42,,abs,0.5,200,20,1,sy-rand5,1.066,884,0.164213,0.181912,0.181912,0.240684,9.4515
grid,42,,abs,0.5,200,20,1,sy-rand500,0.267,776,0.999706,0.110976,0.110976,0.197729,88.6096
grid,42,,abs,0.5,200,20,1,pp-rand1,0.019,-1,0.989699,0.108954,0.108954,0.188799,81.7691
grid,42,,abs,0.5,200,20,1,pp-default,0.093,-1,0.184321,0.183142,0.183142,0.239713,10.6216
grid,42,,abs,0.5,200,20,1,pp-probe500,0.138,-1,0.999921,0.113624,0.113624,0.198824,89.2781
grid,42,,abs,0.5,200,20,1,adam-dcor2,0.138,-1,0.182703,0.183153,0.183153,0.239836,10.5272
grid,42,,abs,0.5,200,20,1,sqp-dcor2,0.335,2500,0.183082,0.183153,0.183153,0.23976,10.5493
grid,42,,abs,1.0,200,20,1,sy-full,0.252,685,0.362089,0.088336,0.088336,0.210546,21.2285
grid,42,,abs,1.0,200,20,1,sy-seed,0.209,982,0.331299,0.088752,0.088752,0.212707,19.3476
grid,42,,abs,1.0,200,20,1,sy-rand1,0.234,1109,0.999232,0.098397,0.098397,0.223092,87.754
grid,42,,abs,1.0,200,20,1,sy-rand5,0.928,972,0.855532,0.090791,0.090791,0.202458,58.8185
grid,42,,abs,1.0,200,20,1,sy-rand500,0.358,1211,0.990391,0.081389,0.081389,0.205806,82.0506
grid,42,,abs,1.0,200,20,1,pp-rand1,0.015,-1,0.999596,0.098577,0.098577,0.222393,88.372
grid,42,,abs,1.0,200,20,1,pp-default,0.087,-1,0.999596,0.098577,0.098577,0.222393,88.372
grid,42,,abs,1.0,200,20,1,pp-probe500,0.142,-1,0.999542,0.098686,0.098686,0.22205,88.2657
grid,42,,abs,1.0,200,20,1,adam-dcor2,0.148,-1,0.999503,0.098691,0.098691,0.222078,88.1931
grid,42,,abs,1.0,200,20,1,sqp-dcor2,0.414,3087,0.999521,0.098684,0.098684,0.22211,88.2267
