# script: ch03_gradient_check.py
# seeds: 42, 7, 123, 2024, 5, 2026, 17, 99, 777, 31337
index,seed,n,p,best_h,err_at_best_h,err_at_1e5
dCor,42,200,5,3.162277660168379e-06,4.6342634267374365e-11,1.5335579637745428e-10
dCor,7,200,5,3.162277660168379e-06,4.623601220297194e-11,1.8012651428387041e-10
dCor,123,200,5,1e-05,1.0279830717995637e-10,1.0279830717995637e-10
dCor,2024,200,5,3.162277660168379e-06,4.352401912451746e-11,4.308843831195915e-05
dCor,5,200,5,1e-06,1.2610755044817647e-10,2.202425441603889e-05
dCor,2026,200,5,3.162277660168379e-06,4.504158932087326e-11,1.2890382364664263e-10
dCor,17,200,5,1e-06,5.402089686058007e-11,1.2573501755961985e-10
dCor,99,200,5,1e-08,1.0,1.0
dCor,777,200,5,3.162277660168379e-06,4.2869333271643346e-11,1.2257238446859704e-10
dCor,31337,200,5,3.162277660168379e-06,1.1836791599916784e-10,1.2866021434973923e-10
dCor,42,200,20,1e-08,1.0,1.0
dCor,7,200,20,1e-08,1.0,1.0
dCor,123,200,20,1e-05,1.4165522528938744e-10,1.4165522528938744e-10
dCor,2024,200,20,3.162277660168379e-06,8.358198378262128e-11,1.7613413952765097e-10
dCor,5,200,20,3.162277660168379e-06,6.774767266327976e-11,2.1692697571391636e-05
dCor,2026,200,20,3.162277660168379e-06,8.152468694321175e-11,2.525747615400552e-10
dCor,17,200,20,3.162277660168379e-06,1.1109874885687656e-10,1.474191822616394e-10
dCor,99,200,20,1e-08,1.0,1.0
dCor,777,200,20,3.162277660168379e-06,1.1541618776021861e-10,1.7623044873869614e-10
dCor,31337,200,20,1e-06,4.937638151164512e-10,0.0004672268578993903
dCor,42,200,50,3.162277660168379e-06,1.3560036267850673e-10,0.0002074000947997981
dCor,7,200,50,1e-08,1.0,1.0
dCor,123,200,50,3.162277660168379e-06,1.2952067745699033e-10,1.7632577218967868e-10
dCor,2024,200,50,3.162277660168379e-06,9.011356143465248e-11,1.7698877080186131e-10
dCor,5,200,50,3.162277660168379e-06,1.5784203794240098e-10,1.8532178809079024e-10
dCor,2026,200,50,3.162277660168379e-06,6.929098851934424e-11,1.5938578287552333e-10
dCor,17,200,50,3.162277660168379e-06,1.4054863258931716e-10,9.943053713617219e-05
dCor,99,200,50,1e-08,1.0,1.0
dCor,777,200,50,1e-08,1.0,1.0
dCor,31337,200,50,3.162277660168379e-06,1.394238522403228e-10,1.704788407966697e-10
dCor,42,500,5,3.162277660168379e-06,3.384485356815803e-11,1.5834688173466494e-10
