# script: ch04_initialisation_ablation.py
# seeds: 42, 7, 123, 2024, 5
# arms: random, sir, whitened, more starts, whitened+sir+starts
# n_restarts: 5
# max_iter: 150
part,seed,config,model,nonlinearity,noise,rho,n,p,d,arm,angle,delta_m,dcor2_u,restart_spread,seconds
grid,42,square_s0.0_r0.0,,square,0.0,0.0,200,20,1,random,8.6802,0.150919,0.309552,0.188743,0.08
grid,42,square_s0.0_r0.0,,square,0.0,0.0,200,20,1,sir,8.726,0.15171,0.309576,0.194957,0.074
grid,42,square_s0.0_r0.0,,square,0.0,0.0,200,20,1,whitened,8.6598,0.150567,0.309538,0.189133,0.085
grid,42,square_s0.0_r0.0,,square,0.0,0.0,200,20,1,more starts,8.7141,0.151504,0.309564,0.26978,0.419
grid,42,square_s0.0_r0.0,,square,0.0,0.0,200,20,1,whitened+sir+starts,8.6339,0.150121,0.309551,0.26987,0.422
grid,42,square_s0.5_r0.0,,square,0.5,0.0,200,20,1,random,10.0829,0.175072,0.233853,0.12217,0.079
grid,42,square_s0.5_r0.0,,square,0.5,0.0,200,20,1,sir,10.204,0.177154,0.23384,0.124328,0.073
grid,42,square_s0.5_r0.0,,square,0.5,0.0,200,20,1,whitened,9.9831,0.173358,0.233845,0.124342,0.08
grid,42,square_s0.5_r0.0,,square,0.5,0.0,200,20,1,more starts,10.0829,0.175072,0.233853,0.12217,0.454
grid,42,square_s0.5_r0.0,,square,0.5,0.0,200,20,1,whitened+sir+starts,9.9957,0.173574,0.233846,0.124343,0.426
grid,42,square_s1.0_r0.0,,square,1.0,0.0,200,20,1,random,12.8649,0.222653,0.149568,0.054809,0.098
grid,42,square_s1.0_r0.0,,square,1.0,0.0,200,20,1,sir,12.9269,0.223707,0.149563,0.054803,0.079
grid,42,square_s1.0_r0.0,,square,1.0,0.0,200,20,1,whitened,12.8871,0.223031,0.149556,0.055009,0.09
grid,42,square_s1.0_r0.0,,square,1.0,0.0,200,20,1,more starts,12.8649,0.222653,0.149568,0.057131,0.472
grid,42,square_s1.0_r0.0,,square,1.0,0.0,200,20,1,whitened+sir+starts,12.8871,0.223031,0.149556,0.065968,0.407
grid,42,square_s2.0_r0.0,,square,2.0,0.0,200,20,1,random,85.4138,0.996798,0.087083,0.021889,0.093
grid,42,square_s2.0_r0.0,,square,2.0,0.0,200,20,1,sir,79.7557,0.984058,0.088823,0.023628,0.092
grid,42,square_s2.0_r0.0,,square,2.0,0.0,200,20,1,whitened,88.6109,0.999706,0.094062,0.064808,0.084
grid,42,square_s2.0_r0.0,,square,2.0,0.0,200,20,1,more starts,88.5049,0.99966,0.094102,0.028907,0.476
grid,42,square_s2.0_r0.0,,square,2.0,0.0,200,20,1,whitened+sir+starts,87.5639,0.999096,0.094159,0.064904,0.425
grid,42,square_s0.0_r0.5,,square,0.0,0.5,200,20,1,random,12.2834,0.212747,0.309569,0.194628,0.076
grid,42,square_s0.0_r0.5,,square,0.0,0.5,200,20,1,sir,12.5941,0.218043,0.309553,0.194029,0.075
grid,42,square_s0.0_r0.5,,square,0.0,0.5,200,20,1,whitened,12.1964,0.211263,0.309567,0.195685,0.075
grid,42,square_s0.0_r0.5,,square,0.0,0.5,200,20,1,more starts,12.2834,0.212747,0.309569,0.19639,0.445
grid,42,square_s0.0_r0.5,,square,0.0,0.5,200,20,1,whitened+sir+starts,12.1964,0.211263,0.309567,0.275138,0.387
grid,42,square_s0.5_r0.5,,square,0.5,0.5,200,20,1,random,13.9839,0.24165,0.233807,0.12228,0.079
grid,42,square_s0.5_r0.5,,square,0.5,0.5,200,20,1,sir,13.3055,0.230143,0.233779,0.122252,0.072
grid,42,square_s0.5_r0.5,,square,0.5,0.5,200,20,1,whitened,13.8778,0.239852,0.233863,0.124398,0.083
grid,42,square_s0.5_r0.5,,square,0.5,0.5,200,20,1,more starts,13.9839,0.24165,0.233807,0.122662,0.464
grid,42,square_s0.5_r0.5,,square,0.5,0.5,200,20,1,whitened+sir+starts,13.6608,0.236173,0.233864,0.124672,0.409
grid,42,square_s1.0_r0.5,,square,1.0,0.5,200,20,1,random,17.5251,0.301124,0.149485,0.04764,0.088
grid,42,square_s1.0_r0.5,,square,1.0,0.5,200,20,1,sir,17.3045,0.29745,0.149558,0.047713,0.077
grid,42,square_s1.0_r0.5,,square,1.0,0.5,200,20,1,whitened,17.2204,0.296048,0.149549,0.048052,0.09
grid,42,square_s1.0_r0.5,,square,1.0,0.5,200,20,1,more starts,17.3937,0.298936,0.149541,0.054915,0.482
grid,42,square_s1.0_r0.5,,square,1.0,0.5,200,20,1,whitened+sir+starts,17.2204,0.296048,0.149549,0.06105,0.411
grid,42,square_s2.0_r0.5,,square,2.0,0.5,200,20,1,random,87.8247,0.999279,0.094072,0.015706,0.079
grid,42,square_s2.0_r0.5,,square,2.0,0.5,200,20,1,sir,87.8247,0.999279,0.094072,0.015706,0.085
grid,42,square_s2.0_r0.5,,square,2.0,0.5,200,20,1,whitened,88.8431,0.999796,0.094136,0.029604,0.088
grid,42,square_s2.0_r0.5,,square,2.0,0.5,200,20,1,more starts,87.651,0.99916,0.094095,0.015728,0.482
grid,42,square_s2.0_r0.5,,square,2.0,0.5,200,20,1,whitened+sir+starts,88.8431,0.999796,0.094136,0.045611,0.414
grid,42,sine_s0.0_r0.0,,sine,0.0,0.0,200,20,1,random,68.0051,0.927217,0.137277,0.006371,0.088
grid,42,sine_s0.0_r0.0,,sine,0.0,0.0,200,20,1,sir,67.9553,0.926891,0.13729,0.006384,0.073
grid,42,sine_s0.0_r0.0,,sine,0.0,0.0,200,20,1,whitened,68.0601,0.927576,0.137248,0.006592,0.087
grid,42,sine_s0.0_r0.0,,sine,0.0,0.0,200,20,1,more starts,68.1473,0.928144,0.137294,0.006763,0.407
grid,42,sine_s0.0_r0.0,,sine,0.0,0.0,200,20,1,whitened+sir+starts,68.0038,0.927208,0.137292,0.006636,0.394
grid,42,sine_s0.5_r0.0,,sine,0.5,0.0,200,20,1,random,63.7892,0.897175,0.114884,0.052024,0.081
grid,42,sine_s0.5_r0.0,,sine,0.5,0.0,200,20,1,sir,63.7892,0.897175,0.114884,0.000225,0.083
grid,42,sine_s0.5_r0.0,,sine,0.5,0.0,200,20,1,whitened,64.547,0.902938,0.114773,0.051641,0.089
grid,42,sine_s0.5_r0.0,,sine,0.5,0.0,200,20,1,more starts,63.7892,0.897175,0.114884,0.052024,0.434
grid,42,sine_s0.5_r0.0,,sine,0.5,0.0,200,20,1,whitened+sir+starts,63.678,0.896316,0.114905,0.051773,0.417
grid,42,sine_s1.0_r0.0,,sine,1.0,0.0,200,20,1,random,69.0546,0.933921,0.079788,0.036388,0.095
grid,42,sine_s1.0_r0.0,,sine,1.0,0.0,200,20,1,sir,69.0546,0.933921,0.079788,0.020506,0.092
grid,42,sine_s1.0_r0.0,,sine,1.0,0.0,200,20,1,whitened,69.0277,0.933753,0.079501,0.036117,0.094
grid,42,sine_s1.0_r0.0,,sine,1.0,0.0,200,20,1,more starts,69.0546,0.933921,0.079788,0.036388,0.443
grid,42,sine_s1.0_r0.0,,sine,1.0,0.0,200,20,1,whitened+sir+starts,69.0582,0.933944,0.079632,0.036249,0.405
grid,42,sine_s2.0_r0.0,,sine,2.0,0.0,200,20,1,random,78.2691,0.979113,0.066298,0.032503,0.081
grid,42,sine_s2.0_r0.0,,sine,2.0,0.0,200,20,1,sir,78.2691,0.979113,0.066298,0.022093,0.062
grid,42,sine_s2.0_r0.0,,sine,2.0,0.0,200,20,1,whitened,76.7522,0.973388,0.059499,0.009358,0.09
grid,42,sine_s2.0_r0.0,,sine,2.0,0.0,200,20,1,more starts,74.2176,0.962302,0.07037,0.036574,0.427
grid,42,sine_s2.0_r0.0,,sine,2.0,0.0,200,20,1,whitened+sir+starts,85.3375,0.996691,0.068797,0.023108,0.414
grid,42,sine_s0.0_r0.5,,sine,0.0,0.5,200,20,1,random,62.9741,0.890801,0.137234,0.010979,0.079
grid,42,sine_s0.0_r0.5,,sine,0.0,0.5,200,20,1,sir,62.9741,0.890801,0.137234,0.005142,0.078
grid,42,sine_s0.0_r0.5,,sine,0.0,0.5,200,20,1,whitened,63.2716,0.893148,0.137272,0.005209,0.083
