# script: ch04_joint_and_penalty.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 5
# joint_restarts: 20
# max_iter: 150
# lambdas: 0.0, 0.1, 0.5, 1.0, 2.0
seed,config,n,p,k,nonlinearity,noise,strategy,lam,mean_angle,inter_dcor,obj,restart_spread,time
42,k2_p5_product,200,5,2,product,0.0,sequential,0.0,3.2732681812130906,0.0,nan,nan,0.14728951454162598
42,k2_p5_product,200,5,2,product,0.0,joint,0.0,2.801416592340386,0.002334757676240423,0.27013749107671625,0.2040637881906949,1.1576907634735107
42,k2_p5_product,200,5,2,product,0.0,joint,0.1,2.69707985814758,0.001964131364234807,0.26956352023688623,0.22572802633149952,2.6575658321380615
42,k2_p5_product,200,5,2,product,0.0,joint,0.5,2.375671321262448,0.0013568880362366702,0.26842368295747177,0.18444611535855077,2.696401357650757
42,k2_p5_product,200,5,2,product,0.0,joint,1.0,2.644230378878758,0.0018754224797841042,0.26823872764635026,0.1846173288619336,2.591189384460449
42,k2_p5_product,200,5,2,product,0.0,joint,2.0,2.5133846621066507,0.0005387363170345403,0.2673280419898041,0.2523509641186504,2.7899057865142822
42,k2_p5_sumSq,200,5,2,sum_squares,0.0,sequential,0.0,3.057445812015886,0.07068484219225703,nan,nan,0.12334942817687988
42,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.0,2.9375713258132317,0.0,0.25618886151023923,0.13138138008618322,1.085707664489746
42,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.1,2.717035444961726,0.0,0.25606320952253125,0.13456724978818482,2.4318439960479736
42,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.5,2.897167629462771,0.0,0.256402673960002,0.16935890413445373,2.4708611965179443
42,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,1.0,3.2016184812166593,0.0,0.2565694521189823,0.10531139456889618,2.783139705657959
42,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,2.0,3.5111835274694414,0.0,0.2562669348348404,0.2480935860263177,2.642435073852539
42,k2_p10_sumSq,300,10,2,sum_squares,0.0,sequential,0.0,8.084933262001444,0.014439773890746287,nan,nan,0.3764312267303467
42,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.0,8.346904217538773,0.0017874792198078952,0.25913858267603895,0.10091145070126462,2.3019309043884277
42,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.1,8.081162537164353,0.0014279735467535753,0.2590828398296529,0.12051440256604176,5.856489658355713
42,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.5,7.758202181932083,0.00011012140982728491,0.2585821805109943,0.1995565888030976,5.707342624664307
42,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,1.0,7.76242026375442,0.0,0.2585565057587705,0.11693765051689214,9.42684555053711
42,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,2.0,7.83900271778708,0.0,0.2560374347766782,0.1975711676972139,12.631216764450073
42,k2_p5_product_noisy,200,5,2,product,0.5,sequential,0.0,6.4457328650175105,0.01654804111245326,nan,nan,0.307018518447876
42,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.0,6.126727023497198,0.0031768977186221073,0.15014788536643484,0.12825821994670616,2.302172899246216
42,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.1,5.6228066317488725,0.0017604000912401104,0.1484953616897799,0.1229393845186313,5.961166143417358
42,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.5,5.129192952903312,0.0004572004826990647,0.14706487075007665,0.12147029091434194,5.861477851867676
42,k2_p5_product_noisy,200,5,2,product,0.5,joint,1.0,5.8607009938107,0.0010963883967943114,0.14798588912467547,0.12247006392793666,5.27013373374939
42,k2_p5_product_noisy,200,5,2,product,0.5,joint,2.0,4.855455848889985,0.0,0.14715551957467876,0.12200472616986147,5.268202781677246
7,k2_p5_product,200,5,2,product,0.0,sequential,0.0,8.046783105789338,0.0,nan,nan,0.26430344581604004
7,k2_p5_product,200,5,2,product,0.0,joint,0.0,7.698562217656914,0.0,0.31421772911598933,0.2026807686562558,1.6953251361846924
7,k2_p5_product,200,5,2,product,0.0,joint,0.1,7.67331057864156,0.0,0.3142218143185933,0.2050610805374692,2.6628198623657227
7,k2_p5_product,200,5,2,product,0.0,joint,0.5,7.62079162004126,0.0,0.31417648059041714,0.2109188005551247,2.5439751148223877
7,k2_p5_product,200,5,2,product,0.0,joint,1.0,8.54482355471363,0.0,0.3122047341625985,0.21296355076197113,2.5681040287017822
7,k2_p5_product,200,5,2,product,0.0,joint,2.0,8.088166331357108,0.0,0.3079925144246851,0.21116886456474593,2.794010877609253
7,k2_p5_sumSq,200,5,2,sum_squares,0.0,sequential,0.0,6.697694058104877,0.08749823374184491,nan,nan,0.14041948318481445
7,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.0,5.851778575089854,0.0,0.27971264172676935,0.1318157399093422,1.021075963973999
7,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.1,6.0073452012120905,0.0,0.27985935688645736,0.02817728648377471,2.4730992317199707
7,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.5,6.976857967187654,0.0,0.28021261030003364,0.028784442216720663,3.30035400390625
7,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,1.0,5.791135630203978,0.0,0.27994483042995555,0.028498974225708906,5.564573526382446
7,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,2.0,7.219914116642766,0.0,0.27962673942731425,0.028264548222229235,5.936190843582153
7,k2_p10_sumSq,300,10,2,sum_squares,0.0,sequential,0.0,8.174924914606345,0.1951517719433673,nan,nan,0.9278342723846436
7,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.0,8.53988289187447,0.008451607695001553,0.2951520030605656,0.11212989661554601,4.958174228668213
7,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.1,8.524824070532755,0.0037694282820678543,0.29559233026386356,0.11581398420821734,13.282918930053711
7,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.5,7.98728562215592,0.0013575318145019782,0.29384039606502393,0.11992731345413929,13.459985494613647
7,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,1.0,7.770894208305676,0.0,0.29252583282534933,0.12662834087766775,7.531059265136719
7,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,2.0,7.883159853318171,0.0,0.2922955741696788,0.13939198690817778,5.813242673873901
7,k2_p5_product_noisy,200,5,2,product,0.5,sequential,0.0,10.999462614036997,0.0046519080662729435,nan,nan,0.13974261283874512
7,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.0,10.972670511066797,0.0,0.17972716516271442,0.11284108081372726,1.005253791809082
7,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.1,11.114754118613607,0.0,0.1796503750708297,0.11374343397859331,2.5869557857513428
7,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.5,11.205567399263263,0.0,0.17911289315651835,0.11633531074247966,2.535107135772705
7,k2_p5_product_noisy,200,5,2,product,0.5,joint,1.0,10.174340767276627,0.0,0.17949127426399009,0.11592141897808236,2.6056270599365234
7,k2_p5_product_noisy,200,5,2,product,0.5,joint,2.0,9.390090910760975,0.0,0.1787238077710758,0.11671654403253456,4.181612253189087
