# script: ch04_known_start.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 3
# max_iter: 100
seed,nonlinearity,noise,n,p,dcor2_true,dcor2_found,dcor2_from_truth,angle_found,angle_from_truth,found_beats_truth
42,square,0.0,200,5,0.296718,0.29734,0.297354,1.4803,1.3879,True
42,square,0.0,200,20,0.292981,0.309429,0.309568,8.9983,8.4941,True
42,square,0.5,200,5,0.238863,0.239728,0.239725,2.0385,2.0106,True
42,square,0.5,200,20,0.219561,0.233619,0.233871,11.4284,10.0131,True
42,square,1.0,200,5,0.167736,0.168681,0.16868,2.3061,2.3949,True
42,square,1.0,200,20,0.135218,0.149345,0.149226,13.2546,12.3128,True
42,square,2.0,200,5,0.084248,0.085356,0.085399,3.2045,3.4411,True
42,square,2.0,200,20,0.059135,0.086578,0.079003,86.1473,29.8061,True
42,sine,0.0,200,5,0.03378,0.032398,0.034169,80.556,1.1824,False
42,sine,0.0,200,20,0.045154,0.13729,0.137064,68.0279,68.5514,True
42,sine,0.5,200,5,0.029231,0.046569,0.030303,70.5579,2.3746,True
42,sine,0.5,200,20,0.033542,0.114721,0.114464,66.0539,66.4742,True
42,sine,1.0,200,5,0.016079,0.042949,0.01719,69.8806,2.7501,True
42,sine,1.0,200,20,0.015598,0.079752,0.066619,69.0568,57.8327,True
42,sine,2.0,200,5,0.006099,0.034547,0.034564,71.2098,70.6142,True
42,sine,2.0,200,20,0.002784,0.066253,0.036963,78.35,38.8285,True
42,abs,0.0,200,5,0.313579,0.314229,0.314201,1.4156,1.4165,True
42,abs,0.0,200,20,0.309864,0.324,0.324632,7.8757,7.2365,True
42,abs,0.5,200,5,0.183622,0.184801,0.184791,2.3938,2.426,True
42,abs,0.5,200,20,0.167559,0.112909,0.183145,89.5355,10.5198,False
42,abs,1.0,200,5,0.091927,0.093201,0.093212,3.5682,3.5388,True
42,abs,1.0,200,20,0.070793,0.098171,0.088589,87.0792,19.6419,True
42,abs,2.0,200,5,0.036641,0.037749,0.03775,4.0686,4.2026,True
42,abs,2.0,200,20,0.021212,0.082103,0.058194,81.8274,40.5025,True
42,cubic,0.0,200,5,0.769853,0.770638,0.770647,1.6455,1.6256,True
42,cubic,0.0,200,20,0.788441,0.802118,0.802711,6.8447,6.827,True
