# script: ch05_multigroup.py
# seeds: 42, 7, 123, 2024, 5
# n: 400
# k: 2
# n_starts: 20
# max_iter: 300
# index_fun: plain
seed,n_groups,p,sigma,strategy,MSS_dVar,MSS_PCA,MSS_FastICA,pair_dir1,pair_dir2,sep_cos_dir1,sep_cos_dir2,distinct_pairs,restart_spread,elapsed
42,3,10,1.0,sequential,0.06518381340217172,0.019611004554017986,0.01961100455401832,0-2,1-2,0.8841679062866483,0.9583818010540652,True,0.004187145549443216,2.5247249603271484
42,3,10,1.0,joint,0.06930554473906914,0.019611004554017986,0.01961100455401832,1-2,0-1,0.9578480240751223,0.8709716382136878,True,0.000930926190072956,1.507350206375122
42,3,10,2.0,sequential,0.006158100092453989,0.0032573571194978723,0.0032573571194977613,0-2,0-1,0.9678253258662208,0.9578468529114622,True,0.0009183963878258705,1.7157323360443115
42,3,10,2.0,joint,0.006661649094839184,0.0032573571194978723,0.0032573571194977613,1-2,0-1,0.9111054893453103,0.9902922906609486,True,0.0003414285784351101,1.7695255279541016
42,3,10,4.0,sequential,0.002054986261105063,0.0008238381010902129,0.0008238381010908791,0-2,0-1,0.9134500580352554,0.9928723838186463,True,0.000826726445613879,1.9950718879699707
42,3,10,4.0,joint,0.0018592317480713993,0.0008238381010902129,0.0008238381010908791,0-1,1-2,0.9919315430988036,0.9180492717835775,True,0.005786822478026643,1.881685495376587
42,3,50,1.0,sequential,0.4349672923570787,0.2721176718894809,0.2721176718894811,0-2,0-1,0.8449875514823304,0.5586172843553429,True,0.07231907251972924,2.067835569381714
42,3,50,1.0,joint,0.42907199287860015,0.2721176718894809,0.2721176718894811,1-2,0-2,0.7603826905230038,0.6489666270329871,True,0.06404734504343557,2.414433479309082
42,3,50,2.0,sequential,0.05963287489845431,0.038629081052596104,0.03862908105259638,0-2,0-1,0.9061827871687365,0.946774907340125,True,0.0006916885990564392,1.6610221862792969
42,3,50,2.0,joint,0.05817474261300093,0.038629081052596104,0.03862908105259638,0-1,1-2,0.9521174014115539,0.8993653966382583,True,0.0017101152686147536,1.728226661682129
42,3,50,4.0,sequential,0.014887607940126446,0.00783101694341054,0.00783101694341043,0-2,0-1,0.9061464365776484,0.9844876566448679,True,0.001208048986621968,1.6439788341522217
42,3,50,4.0,joint,0.01425282217977003,0.00783101694341054,0.00783101694341043,1-2,0-1,0.9099262430345855,0.9841206064134231,True,0.0004764103537775455,1.7864124774932861
42,5,10,1.0,sequential,0.032470280914568994,0.01480157361062756,0.014801573610628449,0-2,1-4,0.9445444185040596,0.9822885931931068,True,0.0005195667434538809,1.6735143661499023
42,5,10,1.0,joint,0.028719650222211845,0.01480157361062756,0.014801573610628449,0-2,1-4,0.9738077565377012,0.9669260844221845,True,0.0014741657599397495,1.7526659965515137
42,5,10,2.0,sequential,0.005811630031169579,0.0017834132749165454,0.0017834132749161014,1-3,2-4,0.9744074274791078,0.9923560218551704,True,0.0016605143079051476,1.806462287902832
42,5,10,2.0,joint,0.006127037561186988,0.0017834132749165454,0.0017834132749161014,0-4,0-2,0.9894195340928343,0.979535198230939,True,0.000322972081565176,1.889211893081665
42,5,10,4.0,sequential,0.0013016170828602514,0.00043441574232477853,0.00043441574232444546,1-3,0-1,0.9808212802079724,0.9919350865842185,True,0.0006376522765041415,2.0691325664520264
42,5,10,4.0,joint,0.001368843883941595,0.00043441574232477853,0.00043441574232444546,0-1,0-4,0.9589424615221865,0.9991775949620076,True,0.0010497582946378259,2.0296053886413574
42,5,50,1.0,sequential,0.28354870373889496,0.22935040527971856,0.22935040527971734,0-4,0-1,0.8717708720378462,0.8035121455942192,True,0.025903296777441298,1.6430776119232178
42,5,50,1.0,joint,0.29397420326152723,0.22935040527971856,0.22935040527971734,0-4,0-1,0.8859622024372228,0.7654808452064932,True,0.028799065929403067,2.1026036739349365
42,5,50,2.0,sequential,0.05689110320365781,0.03683913406409184,0.036839134064092616,0-4,2-4,0.9684348975890966,0.9512757654147874,True,0.0021818160930662245,1.5899693965911865
42,5,50,2.0,joint,0.05713422392744083,0.03683913406409184,0.036839134064092616,0-4,0-1,0.9684499203679,0.9510209530337683,True,0.0004003591784225158,1.7259528636932373
42,5,50,4.0,sequential,0.01276631435657305,0.007558969171605701,0.007558969171606034,0-4,0-1,0.9755948004996439,0.9851714924745579,True,0.0010582954706110925,1.8214530944824219
42,5,50,4.0,joint,0.012817825677521044,0.007558969171605701,0.007558969171606034,0-1,0-4,0.9874626518520917,0.9703980762098684,True,0.0008131842782557186,1.561990737915039
7,3,10,1.0,sequential,0.09714638728372316,0.05874662759462046,0.05874662759462085,0-2,1-2,0.9663503577401187,0.8588575052509647,True,0.011104579673018256,1.6391654014587402
7,3,10,1.0,joint,0.12761450637063404,0.05874662759462046,0.05874662759462085,0-2,0-1,0.8981574375972584,0.9128820136520265,True,0.016574999334397544,1.7321991920471191
7,3,10,2.0,sequential,0.018329015278633065,0.009350646257764272,0.009350646257764161,0-2,0-1,0.9147055321872273,0.9799946280677254,True,0.06649355755674624,1.725107192993164
7,3,10,2.0,joint,0.01815519534686494,0.009350646257764272,0.009350646257764161,1-2,0-1,0.9073468649525398,0.9813765186704912,True,0.0014464731732153346,2.1786725521087646
7,3,10,4.0,sequential,0.0028832858208126533,0.0019340984388503957,0.001934098438852172,0-2,0-1,0.8661980471356376,0.9975430650412496,True,0.04903742720660054,1.8234906196594238
7,3,10,4.0,joint,0.0025907801601453007,0.0019340984388503957,0.001934098438852172,1-2,0-1,0.9549149288345425,0.9726652927347186,True,0.00033701770443261836,2.0100979804992676
7,3,50,1.0,sequential,0.22983360047389179,0.1862076831532064,0.18620768315320724,1-2,0-2,0.8660231197129509,0.7893452659950547,True,0.0066503681803811165,1.6620304584503174
7,3,50,1.0,joint,0.22025508756859452,0.1862076831532064,0.18620768315320724,1-2,0-2,0.8576723056310116,0.8543920096709049,True,0.0004084646843791617,1.6143865585327148
7,3,50,2.0,sequential,0.05286356038243928,0.03328718570265138,0.033287185702651045,1-2,0-1,0.9204395029525586,0.9548476582553425,True,0.025053309797691048,1.5478219985961914
7,3,50,2.0,joint,0.05630966498000545,0.03328718570265138,0.033287185702651045,1-2,0-1,0.9678585640194186,0.8713876429934806,True,0.000305932356679417,1.6646108627319336
7,3,50,4.0,sequential,0.013899533427328858,0.008257673260080978,0.008257673260080978,1-2,0-1,0.8975500205831777,0.9900511790822649,True,0.0832192218861425,1.6100330352783203
7,3,50,4.0,joint,0.014968615121699613,0.008257673260080978,0.008257673260080978,0-1,1-2,0.937026505712086,0.9745240216323859,True,0.0005533904978616278,1.9206571578979492
7,5,10,1.0,sequential,0.1338674233134956,0.05286833179015593,0.0528683317901546,2-4,0-4,0.902139754948309,0.9325340038332397,True,0.0017066760951848226,1.572188138961792
7,5,10,1.0,joint,0.14481918789557913,0.05286833179015593,0.0528683317901546,0-4,0-2,0.9335422198065373,0.8955318331685433,True,0.001394368443987215,1.7588119506835938
7,5,10,2.0,sequential,0.01945755545074751,0.009115052279955738,0.009115052279955627,0-1,0-4,0.9828555891170105,0.9623414042932661,True,0.0008327351696844065,1.8542628288269043
7,5,10,2.0,joint,0.02099964041568675,0.009115052279955738,0.009115052279955627,1-4,0-3,0.9914489764671539,0.9419788041378713,True,0.00954306406107186,1.848736047744751
7,5,10,4.0,sequential,0.00435479756134427,0.002091773323178725,0.002091773323179391,0-1,0-4,0.9855092499667417,0.9855148116439176,True,0.004339070105354281,1.9515941143035889
7,5,10,4.0,joint,0.0046793021048684436,0.002091773323178725,0.002091773323179391,0-3,1-4,0.9648142283762291,0.9961878468885368,True,0.0002291525335484934,2.08066725730896
