# script: ch04_shengyin_2016_design.py
# seeds: 20260813
# replicates: accuracy block: 100 at n=100, 25 at n=500; scaling block: 5 at each p
# n_perturb: 500
# n_restarts: 5
# max_iter: 150
# scaling_block: model A part 1, n=500, p in {6, 20, 50, 100}
# methods: dCor-PP (this thesis), Sheng-Yin (SQP), SIR, OLS
# design_source: wu2021mm pp.12-13, restating Sheng & Yin (2016)
block,model,part,n,p,d,rep,method,angle,delta_m,dcor2_u,seconds
accuracy,A,1,100,6,2,0,dCor-PP (this thesis),10.4888,0.274268,0.254019,0.061
accuracy,A,1,100,6,2,0,Sheng-Yin (SQP),10.2637,0.271988,0.244505,0.074
accuracy,A,1,100,6,2,0,SIR,18.6883,0.546766,0.234252,0.0
accuracy,A,1,100,6,2,0,OLS,12.8518,,0.383233,0.0
accuracy,A,1,100,6,2,1,dCor-PP (this thesis),14.5954,0.296191,0.317383,0.068
accuracy,A,1,100,6,2,1,Sheng-Yin (SQP),9.9819,0.215058,0.263729,0.065
accuracy,A,1,100,6,2,1,SIR,32.2979,0.775993,0.235687,0.0
accuracy,A,1,100,6,2,1,OLS,23.6753,,0.457571,0.0
accuracy,A,1,100,6,2,2,dCor-PP (this thesis),11.0226,0.251115,0.325932,0.062
accuracy,A,1,100,6,2,2,Sheng-Yin (SQP),12.4584,0.234521,0.323772,0.064
accuracy,A,1,100,6,2,2,SIR,44.6339,0.991607,0.272598,0.0
accuracy,A,1,100,6,2,2,OLS,13.1706,,0.518191,0.0
accuracy,A,1,100,6,2,3,dCor-PP (this thesis),8.6694,0.239324,0.343638,0.056
accuracy,A,1,100,6,2,3,Sheng-Yin (SQP),7.6893,0.21053,0.299225,0.067
accuracy,A,1,100,6,2,3,SIR,50.4304,0.998029,0.226645,0.0
accuracy,A,1,100,6,2,3,OLS,18.1726,,0.42171,0.0
accuracy,A,1,100,6,2,4,dCor-PP (this thesis),6.9045,0.136976,0.253559,0.06
accuracy,A,1,100,6,2,4,Sheng-Yin (SQP),6.229,0.154597,0.242615,0.099
accuracy,A,1,100,6,2,4,SIR,41.9408,0.949667,0.153173,0.001
accuracy,A,1,100,6,2,4,OLS,29.1078,,0.260429,0.0
accuracy,A,1,100,6,2,5,dCor-PP (this thesis),11.6648,0.236071,0.270735,0.066
accuracy,A,1,100,6,2,5,Sheng-Yin (SQP),7.0601,0.161248,0.220006,0.076
accuracy,A,1,100,6,2,5,SIR,40.022,0.948612,0.143973,0.0
accuracy,A,1,100,6,2,5,OLS,6.9674,,0.2682,0.0
accuracy,A,1,100,6,2,6,dCor-PP (this thesis),15.8062,0.339337,0.279136,0.063
accuracy,A,1,100,6,2,6,Sheng-Yin (SQP),9.6526,0.25208,0.259209,0.06
accuracy,A,1,100,6,2,6,SIR,51.1899,0.999502,0.18189,0.001
accuracy,A,1,100,6,2,6,OLS,21.6339,,0.353003,0.0
accuracy,A,1,100,6,2,7,dCor-PP (this thesis),9.9414,0.271375,0.359016,0.057
accuracy,A,1,100,6,2,7,Sheng-Yin (SQP),36.4468,0.926339,0.254882,0.066
accuracy,A,1,100,6,2,7,SIR,41.1935,0.975902,0.268469,0.001
