# script: ch04_shengyin_on_our_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_perturb: 500
# n_restarts: 3
# max_iter: 100
part,seed,config,nonlinearity,noise,n,p,k,method,angle,dcor2_u,dcov_v,seconds
single,42,square_p2_s0.0,square,0.0,200,2,1,dCor-PP (this thesis),1.4038,0.292588,0.387655,0.036
single,42,square_p2_s0.0,square,0.0,200,2,1,Sheng-Yin (dcsol),1.0397,0.292554,0.387742,0.116
single,42,square_p5_s0.0,square,0.0,200,5,1,dCor-PP (this thesis),1.4803,0.29734,0.383686,0.036
single,42,square_p5_s0.0,square,0.0,200,5,1,Sheng-Yin (dcsol),1.4695,0.297231,0.384079,0.125
single,42,square_p20_s0.0,square,0.0,200,20,1,dCor-PP (this thesis),8.9983,0.309429,0.374889,0.048
single,42,square_p20_s0.0,square,0.0,200,20,1,Sheng-Yin (dcsol),6.9153,0.308074,0.376228,0.298
single,42,square_p2_s0.5,square,0.5,200,2,1,dCor-PP (this thesis),0.706,0.243788,0.378129,0.039
single,42,square_p2_s0.5,square,0.5,200,2,1,Sheng-Yin (dcsol),0.3935,0.243773,0.378203,0.106
single,42,square_p5_s0.5,square,0.5,200,5,1,dCor-PP (this thesis),2.0385,0.239728,0.363295,0.041
single,42,square_p5_s0.5,square,0.5,200,5,1,Sheng-Yin (dcsol),2.1485,0.239643,0.363668,0.116
single,42,square_p20_s0.5,square,0.5,200,20,1,dCor-PP (this thesis),11.4284,0.233619,0.33766,0.044
single,42,square_p20_s0.5,square,0.5,200,20,1,Sheng-Yin (dcsol),7.8959,0.232631,0.339869,0.356
single,42,square_p2_s1.0,square,1.0,200,2,1,dCor-PP (this thesis),0.0099,0.181122,0.366735,0.034
single,42,square_p2_s1.0,square,1.0,200,2,1,Sheng-Yin (dcsol),0.3847,0.181106,0.366814,0.106
single,42,square_p5_s1.0,square,1.0,200,5,1,dCor-PP (this thesis),2.3061,0.168681,0.341205,0.041
single,42,square_p5_s1.0,square,1.0,200,5,1,Sheng-Yin (dcsol),2.6907,0.168625,0.341445,0.12
single,42,square_p20_s1.0,square,1.0,200,20,1,dCor-PP (this thesis),13.2546,0.149345,0.308032,0.054
single,42,square_p20_s1.0,square,1.0,200,20,1,Sheng-Yin (dcsol),11.1627,0.148403,0.309596,0.348
single,42,square_p2_s2.0,square,2.0,200,2,1,dCor-PP (this thesis),0.2872,0.101092,0.345507,0.038
single,42,square_p2_s2.0,square,2.0,200,2,1,Sheng-Yin (dcsol),0.7176,0.101082,0.345588,0.108
single,42,square_p5_s2.0,square,2.0,200,5,1,dCor-PP (this thesis),3.2045,0.085356,0.309223,0.033
single,42,square_p5_s2.0,square,2.0,200,5,1,Sheng-Yin (dcsol),3.7064,0.085373,0.309599,0.113
