# script: ch04_master_grid.py
# seeds: 42, 7, 123, 2024, 5
# sizes: [(500, 6), (500, 20)]
# noise_sd: 0.5
# n_restarts: 5
# joint_restarts: 20
# parts: (1,)
# n_perturb: 500
# max_iter: 150
# single_models: ['A', 'B', 'C', 'square', 'cubic', 'sum_squares']
# multi_models: ['A', 'B', 'sum_squares', 'product']
grid,model,k,part,n,p,seed,method,angle_mean,angle_max,dcor2_u,seconds
single,A,2,1,500,6,42,dCor-SDR,3.2161,4.2803,0.313356,0.856
single,A,2,1,500,6,42,Sheng-Yin,3.8605,5.5509,0.269478,3.301
single,A,2,1,500,6,42,SIR,38.7168,73.4645,0.195343,0.0
single,A,2,1,500,6,42,OLS,7.8483,7.8483,0.386076,0.0
single,A,2,1,500,6,7,dCor-SDR,4.7073,5.5646,0.298058,0.866
single,A,2,1,500,6,7,Sheng-Yin,4.0375,4.9162,0.276764,3.841
single,A,2,1,500,6,7,SIR,26.0039,46.5448,0.224726,0.0
single,A,2,1,500,6,7,OLS,14.5015,14.5015,0.403531,0.0
single,A,2,1,500,6,123,dCor-SDR,3.8881,4.4281,0.339424,0.885
single,A,2,1,500,6,123,Sheng-Yin,2.1901,2.8952,0.299492,2.978
single,A,2,1,500,6,123,SIR,39.7137,76.5458,0.234139,0.0
single,A,2,1,500,6,123,OLS,9.9979,9.9979,0.457672,0.0
single,A,2,1,500,6,2024,dCor-SDR,5.0408,5.4064,0.391345,0.821
single,A,2,1,500,6,2024,Sheng-Yin,3.3593,3.5736,0.298392,3.444
single,A,2,1,500,6,2024,SIR,35.6002,66.0101,0.225671,0.0
single,A,2,1,500,6,2024,OLS,8.9337,8.9337,0.439057,0.0
single,A,2,1,500,6,5,dCor-SDR,3.5283,5.4347,0.286853,0.733
single,A,2,1,500,6,5,Sheng-Yin,2.9593,3.807,0.246973,3.479
single,A,2,1,500,6,5,SIR,36.1452,68.0088,0.180481,0.0
single,A,2,1,500,6,5,OLS,5.533,5.533,0.357929,0.0
single,A,2,1,500,20,42,dCor-SDR,9.5365,10.9739,0.308917,1.027
single,A,2,1,500,20,42,Sheng-Yin,7.6267,8.9039,0.282725,14.112
single,A,2,1,500,20,42,SIR,47.3369,87.5094,0.206856,0.001
single,A,2,1,500,20,42,OLS,18.5733,18.5733,0.376446,0.0
single,A,2,1,500,20,7,dCor-SDR,11.2954,12.0827,0.298249,1.021
single,A,2,1,500,20,7,Sheng-Yin,10.364,12.3007,0.295766,14.364
single,A,2,1,500,20,7,SIR,50.2576,86.3996,0.217241,0.0
single,A,2,1,500,20,7,OLS,17.4924,17.4924,0.403498,0.0
single,A,2,1,500,20,123,dCor-SDR,8.3515,9.3517,0.317211,1.033
single,A,2,1,500,20,123,Sheng-Yin,7.281,8.5467,0.287313,16.117
